exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,20.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0
beanie,20.0,20.0,1.0,1.0,1.0,8.0,20.0,15.0,1.0,9.0,20.0,9.0,15.0,9.0,1.0,5.0,1.0,14.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,4.0,2.0,1.0,9.0
belt,2.0,1.0,20.0,14.0,1.0,5.0,15.0,5.0,1.0,6.0,16.0,1.0,4.0,1.0,1.0,11.0,2.0,10.0,9.0,14.0,1.0,1.0,5.0,14.0,9.0,14.0,9.0,15.0,1.0
blouse,5.0,1.0,14.0,20.0,5.0,15.0,1.0,5.0,1.0,3.0,6.0,10.0,5.0,1.0,1.0,11.0,2.0,1.0,16.0,1.0,1.0,5.0,1.0,15.0,18.0,15.0,9.0,15.0,2.0
boots,1.0,1.0,1.0,5.0,20.0,2.0,9.0,1.0,1.0,2.0,5.0,1.0,5.0,2.0,1.0,1.0,2.0,8.0,5.0,1.0,1.0,1.0,14.0,5.0,4.0,1.0,5.0,5.0,1.0
bra,1.0,8.0,5.0,15.0,2.0,20.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,18.0,2.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,18.0,5.0,5.0,15.0,5.0,9.0,1.0
cap,1.0,20.0,15.0,1.0,9.0,1.0,20.0,5.0,1.0,5.0,20.0,10.0,1.0,1.0,6.0,1.0,1.0,14.0,1.0,1.0,1.0,4.0,2.0,2.0,10.0,11.0,15.0,1.0,14.0
coat,1.0,15.0,5.0,5.0,1.0,4.0,5.0,20.0,2.0,9.0,10.0,5.0,14.0,2.0,9.0,6.0,1.0,18.0,10.0,4.0,2.0,1.0,2.0,14.0,11.0,1.0,2.0,8.0,2.0
dress,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,20.0,5.0,5.0,1.0,1.0,1.0,6.0,2.0,1.0,5.0,9.0,1.0,1.0,18.0,1.0,18.0,1.0,5.0,1.0,5.0,1.0
dungarees,1.0,9.0,6.0,3.0,2.0,1.0,5.0,9.0,5.0,20.0,9.0,1.0,9.0,2.0,15.0,1.0,14.0,15.0,5.0,5.0,15.0,11.0,5.0,10.0,7.0,9.0,1.0,5.0,2.0
hat,1.0,20.0,16.0,6.0,5.0,1.0,20.0,10.0,5.0,9.0,20.0,10.0,10.0,5.0,1.0,1.0,2.0,14.0,5.0,1.0,9.0,9.0,15.0,15.0,2.0,1.0,9.0,1.0,1.0
jeans,1.0,9.0,1.0,10.0,1.0,5.0,10.0,5.0,1.0,1.0,10.0,20.0,5.0,1.0,20.0,1.0,2.0,2.0,1.0,1.0,18.0,15.0,1.0,10.0,1.0,1.0,5.0,5.0,4.0
mittens,5.0,15.0,4.0,5.0,5.0,1.0,1.0,14.0,1.0,9.0,10.0,5.0,20.0,9.0,9.0,9.0,1.0,11.0,5.0,15.0,4.0,5.0,11.0,1.0,1.0,5.0,1.0,1.0,1.0
panties,6.0,9.0,1.0,1.0,2.0,18.0,1.0,2.0,1.0,2.0,5.0,1.0,9.0,20.0,5.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,9.0,5.0,9.0,1.0,5.0,1.0,1.0
