exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,1.0,5.0,3.0,1.0,6.0,6.0,5.0,9.0,9.0,3.0,3.0,7.0,2.0,2.0,1.0,2.0
ballet,3.0,20.0,2.0,2.0,1.0,1.0,4.0,11.0,1.0,2.0,5.0,1.0,10.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,17.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0
baseball,5.0,2.0,20.0,7.0,3.0,4.0,1.0,9.0,3.0,3.0,3.0,11.0,2.0,7.0,6.0,2.0,2.0,1.0,5.0,2.0,5.0,7.0,2.0,2.0,4.0,9.0,2.0,2.0,3.0,2.0
basketbal,5.0,2.0,7.0,20.0,3.0,7.0,4.0,15.0,3.0,4.0,13.0,5.0,2.0,5.0,3.0,4.0,2.0,1.0,11.0,4.0,3.0,3.0,5.0,7.0,15.0,10.0,2.0,6.0,2.0,2.0
biljarten,3.0,1.0,3.0,3.0,20.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,7.0,5.0,2.0,2.0,9.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,6.0,3.0,3.0
boksen,3.0,1.0,4.0,7.0,6.0,20.0,2.0,4.0,5.0,3.0,12.0,6.0,2.0,4.0,1.0,8.0,2.0,1.0,6.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,4.0,1.0,2.0
golf,5.0,4.0,1.0,4.0,6.0,2.0,20.0,11.0,1.0,10.0,2.0,7.0,2.0,3.0,4.0,2.0,2.0,10.0,4.0,2.0,5.0,7.0,2.0,1.0,9.0,5.0,2.0,2.0,2.0,2.0
handbal,3.0,11.0,9.0,15.0,3.0,4.0,11.0,20.0,4.0,3.0,2.0,3.0,2.0,6.0,2.0,2.0,3.0,1.0,9.0,3.0,7.0,9.0,6.0,4.0,14.0,15.0,3.0,2.0,2.0,2.0
hardlopen,4.0,1.0,3.0,3.0,2.0,5.0,1.0,4.0,20.0,2.0,1.0,10.0,4.0,11.0,1.0,7.0,7.0,1.0,7.0,4.0,2.0,5.0,2.0,14.0,4.0,2.0,6.0,4.0,3.0,2.0
ijshockey,4.0,2.0,3.0,4.0,2.0,3.0,10.0,3.0,2.0,20.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,1.0,7.0,4.0,2.0,7.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0
judo,1.0,5.0,3.0,13.0,2.0,12.0,2.0,2.0,1.0,2.0,20.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,6.0,2.0,2.0,2.0,6.0,2.0
kogelstoten,4.0,1.0,11.0,5.0,2.0,6.0,7.0,3.0,10.0,2.0,2.0,20.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,7.0,8.0,2.0,13.0,2.0,2.0,8.0,2.0,2.0,2.0
paardrijden,3.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,20.0,2.0,2.0,2.0,4.0,1.0,8.0,3.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,7.0,2.0
