exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,5.0,5.0,8.0,5.0,5.0,1.0,14.0,2.0,2.0,2.0,14.0,2.0,12.0,3.0,5.0,12.0,11.0,11.0,8.0,12.0,2.0,11.0,18.0,5.0,11.0,2.0,5.0,11.0,6.0
apricot,5.0,20.0,2.0,2.0,7.0,5.0,1.0,14.0,12.0,11.0,2.0,11.0,15.0,11.0,14.0,14.0,14.0,3.0,18.0,14.0,17.0,6.0,19.0,2.0,14.0,15.0,1.0,3.0,5.0,11.0
banana,5.0,2.0,20.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,4.0,12.0,11.0,11.0,2.0,2.0,5.0,15.0,2.0,2.0,4.0,2.0,14.0,5.0,14.0,1.0,1.0,1.0,2.0,8.0
blackberry,8.0,2.0,2.0,20.0,18.0,14.0,5.0,11.0,4.0,15.0,5.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,12.0,3.0,2.0,12.0,1.0,2.0,5.0,14.0,1.0,17.0,18.0,15.0
blueberry,5.0,7.0,2.0,18.0,20.0,5.0,1.0,5.0,13.0,15.0,5.0,1.0,2.0,2.0,12.0,11.0,2.0,1.0,2.0,2.0,5.0,3.0,3.0,5.0,2.0,14.0,1.0,18.0,18.0,11.0
cherry,5.0,5.0,2.0,14.0,5.0,20.0,1.0,14.0,14.0,12.0,1.0,5.0,2.0,2.0,12.0,2.0,2.0,5.0,4.0,15.0,14.0,15.0,12.0,14.0,2.0,12.0,2.0,13.0,15.0,9.0
coconut,1.0,1.0,1.0,5.0,1.0,1.0,20.0,1.0,1.0,2.0,2.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,2.0,2.0,1.0,15.0,7.0,1.0,1.0,2.0,1.0
dates,14.0,14.0,2.0,11.0,5.0,14.0,1.0,20.0,15.0,17.0,5.0,7.0,5.0,8.0,14.0,5.0,11.0,10.0,5.0,10.0,1.0,3.0,12.0,5.0,2.0,14.0,1.0,2.0,2.0,2.0
fig,2.0,12.0,2.0,4.0,13.0,14.0,1.0,15.0,20.0,15.0,14.0,14.0,1.0,5.0,11.0,1.0,11.0,11.0,5.0,8.0,2.0,12.0,14.0,2.0,12.0,17.0,1.0,4.0,11.0,5.0
grape,2.0,11.0,6.0,15.0,15.0,12.0,2.0,17.0,15.0,20.0,5.0,15.0,5.0,2.0,15.0,5.0,10.0,2.0,8.0,2.0,5.0,9.0,11.0,14.0,2.0,17.0,1.0,11.0,15.0,8.0
grapefruit,2.0,2.0,4.0,5.0,5.0,1.0,2.0,5.0,14.0,5.0,20.0,15.0,15.0,1.0,12.0,2.0,12.0,3.0,12.0,18.0,8.0,11.0,12.0,12.0,11.0,5.0,3.0,14.0,1.0,2.0
kiwi,14.0,11.0,12.0,2.0,1.0,5.0,1.0,7.0,14.0,15.0,15.0,20.0,2.0,15.0,11.0,2.0,5.0,15.0,12.0,12.0,14.0,14.0,15.0,12.0,12.0,12.0,1.0,1.0,12.0,1.0
lemon,2.0,15.0,11.0,2.0,2.0,2.0,2.0,5.0,1.0,5.0,15.0,2.0,20.0,18.0,9.0,18.0,12.0,11.0,15.0,17.0,6.0,15.0,10.0,11.0,5.0,9.0,11.0,9.0,11.0,4.0
lime,12.0,11.0,11.0,5.0,2.0,2.0,12.0,8.0,5.0,2.0,1.0,15.0,18.0,20.0,12.0,14.0,11.0,6.0,18.0,15.0,14.0,12.0,5.0,14.0,3.0,14.0,2.0,3.0,9.0,5.0
lychee,3.0,14.0,2.0,2.0,12.0,12.0,1.0,14.0,11.0,15.0,12.0,11.0,9.0,12.0,20.0,15.0,13.0,12.0,12.0,12.0,2.0,15.0,5.0,2.0,15.0,12.0,1.0,12.0,14.0,7.0
mandarine,5.0,14.0,2.0,5.0,11.0,2.0,1.0,5.0,1.0,5.0,2.0,2.0,18.0,14.0,15.0,20.0,14.0,2.0,14.0,18.0,14.0,1.0,12.0,5.0,1.0,12.0,8.0,2.0,2.0,2.0
mango,12.0,14.0,5.0,2.0,2.0,2.0,1.0,11.0,11.0,10.0,12.0,5.0,12.0,11.0,13.0,14.0,20.0,14.0,12.0,15.0,17.0,10.0,15.0,12.0,8.0,15.0,12.0,3.0,2.0,11.0
