exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,15.0,7.0,8.0,5.0,4.0,11.0,9.0,15.0,6.0,12.0,11.0,8.0,11.0,3.0,16.0,13.0,4.0,14.0,18.0,9.0,13.0,16.0,18.0,3.0,14.0,3.0,4.0,2.0,5.0
apricot,15.0,20.0,6.0,5.0,5.0,4.0,8.0,8.0,10.0,8.0,16.0,8.0,14.0,16.0,4.0,13.0,16.0,9.0,19.0,14.0,15.0,14.0,19.0,10.0,7.0,8.0,4.0,8.0,4.0,4.0
banana,7.0,6.0,20.0,4.0,6.0,6.0,7.0,6.0,8.0,7.0,5.0,6.0,8.0,5.0,7.0,8.0,6.0,6.0,7.0,7.0,9.0,4.0,4.0,5.0,6.0,7.0,9.0,6.0,6.0,5.0
blackberry,8.0,5.0,4.0,20.0,19.0,17.0,7.0,5.0,4.0,18.0,4.0,8.0,6.0,6.0,16.0,5.0,3.0,3.0,6.0,4.0,7.0,6.0,4.0,6.0,3.0,7.0,2.0,18.0,19.0,19.0
blueberry,5.0,5.0,6.0,19.0,20.0,18.0,4.0,4.0,11.0,17.0,4.0,3.0,7.0,5.0,14.0,14.0,7.0,4.0,4.0,4.0,3.0,4.0,7.0,5.0,3.0,9.0,6.0,18.0,18.0,18.0
cherry,4.0,4.0,6.0,17.0,18.0,20.0,6.0,15.0,8.0,19.0,4.0,8.0,8.0,7.0,16.0,5.0,7.0,3.0,8.0,9.0,5.0,8.0,5.0,6.0,4.0,8.0,2.0,17.0,15.0,16.0
coconut,11.0,8.0,7.0,7.0,4.0,6.0,20.0,7.0,6.0,9.0,8.0,12.0,13.0,12.0,8.0,4.0,9.0,14.0,9.0,11.0,15.0,13.0,10.0,7.0,12.0,8.0,3.0,3.0,4.0,6.0
dates,9.0,8.0,6.0,5.0,4.0,15.0,7.0,20.0,18.0,18.0,6.0,12.0,7.0,10.0,17.0,12.0,10.0,6.0,10.0,5.0,9.0,16.0,15.0,7.0,6.0,17.0,3.0,11.0,14.0,14.0
fig,15.0,10.0,8.0,4.0,11.0,8.0,6.0,18.0,20.0,18.0,9.0,9.0,15.0,16.0,17.0,12.0,7.0,4.0,11.0,3.0,7.0,6.0,9.0,6.0,5.0,9.0,2.0,6.0,10.0,12.0
grape,6.0,8.0,7.0,18.0,17.0,19.0,9.0,18.0,18.0,20.0,4.0,9.0,9.0,8.0,16.0,7.0,5.0,4.0,7.0,4.0,7.0,6.0,5.0,6.0,3.0,10.0,3.0,16.0,18.0,17.0
grapefruit,12.0,16.0,5.0,4.0,4.0,4.0,8.0,6.0,9.0,4.0,20.0,15.0,14.0,17.0,5.0,13.0,13.0,10.0,13.0,17.0,18.0,10.0,14.0,8.0,4.0,9.0,6.0,3.0,6.0,3.0
kiwi,11.0,8.0,6.0,8.0,3.0,8.0,12.0,12.0,9.0,9.0,15.0,20.0,16.0,13.0,15.0,15.0,8.0,8.0,14.0,8.0,16.0,16.0,14.0,8.0,5.0,12.0,8.0,6.0,6.0,7.0
