exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
bloes,2.0,20.0,1.0,2.0,12.0,1.0,6.0,1.0,2.0,6.0,9.0,1.0,1.0,1.0,9.0,1.0,2.0,,,,,,,,,,,,
broek,1.0,1.0,20.0,1.0,1.0,1.0,1.0,19.0,9.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,5.0,,,,,,,,,,,,
das,1.0,2.0,1.0,20.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
hemd,1.0,12.0,1.0,2.0,20.0,1.0,4.0,1.0,2.0,8.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,
hoed,1.0,1.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,15.0,1.0,1.0,1.0,,,,,,,,,,,,
jas,1.0,6.0,1.0,1.0,4.0,1.0,20.0,1.0,1.0,6.0,5.0,1.0,5.0,1.0,6.0,1.0,6.0,,,,,,,,,,,,
jeans,2.0,1.0,19.0,1.0,1.0,1.0,1.0,20.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,
jogging,2.0,2.0,9.0,1.0,2.0,1.0,1.0,8.0,20.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,
kleed,1.0,6.0,2.0,2.0,8.0,1.0,6.0,1.0,5.0,20.0,2.0,1.0,1.0,1.0,12.0,1.0,9.0,,,,,,,,,,,,
kostuum,1.0,9.0,2.0,2.0,5.0,2.0,5.0,1.0,1.0,2.0,20.0,1.0,1.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,
laarzen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
muts,2.0,1.0,1.0,1.0,1.0,11.0,5.0,1.0,2.0,1.0,1.0,1.0,20.0,12.0,1.0,1.0,1.0,,,,,,,,,,,,
pet,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,20.0,1.0,1.0,1.0,,,,,,,,,,,,
pyjama,1.0,9.0,6.0,1.0,5.0,1.0,6.0,2.0,5.0,12.0,4.0,1.0,1.0,1.0,20.0,1.0,1.0,,,,,,,,,,,,
riem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,2.0,,,,,,,,,,,,
rok,1.0,2.0,5.0,1.0,1.0,1.0,6.0,2.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,2.0,20.0,,,,,,,,,,,,
salopet,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
schoenen,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
short,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
sjaal,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
slip,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
sokken,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
sweater,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
topje,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
trui,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
wanten,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
zwempak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
