feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
Harley Davidson is a brand,2,-3,2,-3,2,-2,0,1,2,3,-3,-3,-0.16666666666666666,2.443296332763787
arrives in a port,-2,-3,2,-1,2,-1,0,0,-1,3,-3,-2,-0.5,1.9771421064483223
belongs to De lijn (public transportation firm in Flanders),-1,-3,3,-1,2,-3,1,-3,0,3,-3,2,-0.25,2.41679727964699
can be a status symbol,2,3,3,0,0,2,3,2,1,1,2,-2,1.4166666666666667,1.5050420310248864
can be connected to a car,0,-2,2,-3,1,1,1,1,0,1,-3,0,-0.08333333333333333,1.6764862244009224
can be found on a camping,-2,-2,-1,-2,1,-2,2,1,1,2,-2,1,-0.25,1.712255291076124
can be luxurious,2,3,3,-2,0,-1,0,1,1,1,-1,-1,0.5,1.6236882817719773
can be operated from the age of 16,-2,-3,-1,1,2,1,1,-2,-1,2,-3,1,-0.3333333333333333,1.8748737331221843
can be operated from the age of 18,2,2,2,0,2,1,2,1,1,1,-3,3,1.1666666666666667,1.5275252316519468
can crash,-1,1,1,-2,-2,-2,2,-1,1,2,-1,-3,-0.4166666666666667,1.7298624923456323
can drive on rough roads,1,-2,1,-2,2,2,2,1,1,2,-3,2,0.5833333333333334,1.831955405041456
can explode,-3,2,-1,-3,0,1,-1,1,0,-1,1,-3,-0.5833333333333334,1.7298624923456323
can produce steam,-3,1,2,-2,2,1,1,1,0,2,-3,-2,0.0,1.954016841836789
can sink,-3,-1,3,-1,1,-1,2,1,1,2,-3,-2,-0.08333333333333333,2.0207259421636903
can slide,-3,-2,1,-2,1,2,0,0,-1,2,-3,-3,-0.6666666666666666,1.9227505550564004
can stand in queue,1,3,2,1,0,1,0,2,2,1,2,1,1.3333333333333333,0.8876253645985945
causes accidents,1,3,3,1,-3,2,2,1,2,1,1,2,1.3333333333333333,1.5569978883230458
causes traffic jams,-1,2,3,0,-1,-1,2,3,2,1,-1,-2,0.5833333333333334,1.781640374554423
comes in very handy,2,1,3,2,-2,1,0,1,1,0,2,3,1.1666666666666667,1.403458930534474
comes in very handy when trying to avoid a traffic jam,-2,-1,3,-3,-3,0,2,-3,-1,1,-3,-1,-0.9166666666666666,2.0652243256245835
driven by 1 person,1,2,3,2,2,1,-2,3,1,-1,3,2,1.4166666666666667,1.5642792899510296
driven by a coachman,-2,-3,-1,-2,1,1,1,1,-1,3,-3,-2,-0.5833333333333334,1.9286515936521478
driven by a troley driver,-2,-3,-1,-3,2,-1,1,-2,-1,3,-3,-1,-0.9166666666666666,1.9752253419585197
driven by a truck driver,1,-3,2,-2,2,-1,1,2,-1,3,-3,-1,0.0,2.088931871468374
driven by an engine driver,-1,-3,1,-2,2,-1,1,2,-2,3,-1,-2,-0.25,1.9598237397554634
drivers licence not required,-2,-1,-1,0,2,-1,0,-2,-2,2,-3,0,-0.6666666666666666,1.556997888323046
drives above the ground,-1,-1,3,1,3,-1,0,2,-1,0,1,3,0.75,1.6583123951777
drives on a highway,1,-1,2,-1,3,1,1,1,0,1,-3,2,0.5833333333333334,1.6213537179739277
drives on a road,3,2,1,2,3,1,2,2,1,-1,3,2,1.75,1.1381803659589922
drives on fields,-3,-3,1,-2,1,2,-1,0,0,1,-3,-3,-0.8333333333333334,1.8989630344113089
drives on land,1,-1,3,1,2,2,1,1,-1,0,2,3,1.1666666666666667,1.337115846843043
drives under ground,-1,-1,2,-1,3,2,2,2,0,3,-2,2,0.9166666666666666,1.781640374554423
emits fire at the bottom,-3,-2,-2,-3,1,1,2,-2,-2,2,-3,-3,-1.1666666666666667,2.0375267241229382
