exemplar,bought in a store,can be a status symbol,can be used to get from one place to the other,can cause accidents,can move,comes in very handy,different types are available,exists in different brands,exists in different colors,exists in different forms,exists in different kinds,exists in different sizes (groottes),has a motor,has a steering wheel,has been existing for a long time,has gone through a technological revolution,has room for several people,has wheels,is a car (auto),is a faster form of transport than going by foot,is driven by meachanical means,is environmentally friendly,is expensive,is fast,is indispensable,is operated,is polluting,is used a lot,made of metal,produces noise,provides you with freedom,used for long distances,uses fuel,you can transport things with it
(hot air) balloon,0,0,4,4,4,0,3,3,4,3,2,3,0,0,4,3,4,0,0,4,2,0,3,0,0,4,3,0,0,3,1,2,4,3
airplane,0,2,4,4,4,4,4,3,4,3,4,4,4,4,0,4,4,4,0,4,4,0,4,4,1,4,4,4,4,4,1,4,4,4
bicycle,4,0,4,4,4,4,4,4,4,3,4,4,0,4,4,3,2,4,0,4,0,4,0,0,1,4,0,4,3,0,4,0,0,4
boat,0,4,4,4,4,2,4,3,4,3,4,4,4,3,4,4,4,0,0,4,4,0,4,0,1,4,4,3,4,4,2,4,4,4
bus,0,0,4,4,4,2,4,3,4,3,3,4,4,4,0,4,4,4,0,4,4,1,4,3,1,4,4,4,4,4,0,4,4,4
car,2,4,4,4,4,4,4,4,3,3,3,4,4,4,1,4,4,4,4,4,4,0,4,4,1,4,4,4,4,4,4,4,4,4
carriage,1,1,4,4,4,0,4,3,4,3,4,4,0,0,4,2,4,4,0,4,0,4,3,0,0,3,0,0,1,3,2,0,0,4
cart,3,0,4,3,4,3,4,3,4,2,2,4,0,0,4,2,4,4,0,4,0,4,0,0,0,3,0,0,1,3,0,0,0,4
go-cart,3,0,4,4,4,0,4,3,4,3,3,4,0,4,1,2,4,4,0,4,1,4,0,1,0,4,0,1,3,1,0,0,0,2
helicopter,0,2,4,4,4,2,4,3,4,2,3,4,4,4,0,4,4,1,0,4,4,0,4,4,1,4,4,0,4,4,3,4,4,4
hovercraft,0,0,4,4,4,2,3,3,4,2,2,4,4,3,0,4,4,0,0,4,4,0,4,4,1,4,4,1,4,4,1,4,4,4
jeep,2,3,4,4,4,4,3,4,3,3,3,4,4,4,0,4,4,4,3,4,4,0,4,4,1,4,4,3,4,4,3,2,4,4
kick scooter,4,0,4,4,4,1,4,3,4,3,2,4,0,3,2,2,0,4,0,4,0,4,0,0,0,4,0,2,4,0,0,0,0,0
motorbike (brommer),3,0,4,4,4,4,4,4,4,3,3,3,4,4,0,3,3,4,0,4,4,0,1,4,0,4,4,4,4,4,4,0,4,4
motorbike (moto),2,4,4,4,4,4,4,4,4,3,3,4,4,4,0,4,2,4,0,4,4,0,4,4,1,4,4,4,4,4,4,4,4,4
rocket,0,0,4,4,4,1,4,3,4,2,3,4,4,1,0,4,4,1,0,4,4,0,4,4,0,4,4,0,4,4,0,3,4,4
scooter,3,0,4,4,4,4,4,4,4,3,3,3,4,4,0,3,3,4,0,4,4,0,1,2,0,4,4,4,4,4,4,0,4,4
skateboard,4,0,4,4,4,1,3,3,4,3,2,4,0,0,1,2,0,4,0,4,0,4,0,0,0,2,0,1,0,0,0,0,0,0
sled,4,0,4,4,4,2,4,3,4,3,4,4,0,0,4,2,3,0,0,4,0,4,0,0,1,4,0,1,0,0,1,0,0,3
submarine,0,1,4,4,4,2,4,3,3,2,2,4,4,3,0,4,4,0,0,4,4,0,4,2,1,4,4,0,4,3,0,3,4,4
subway train,0,0,4,4,4,3,3,3,4,2,2,4,3,1,0,4,4,4,0,4,4,1,4,4,1,4,2,4,4,4,0,1,1,4
taxi,0,0,4,4,4,3,3,3,4,3,3,3,4,4,0,4,4,4,3,4,4,0,4,4,1,4,4,4,4,4,3,1,4,4
tractor,0,0,4,4,4,2,4,4,4,3,4,4,4,4,1,4,4,4,0,4,4,0,4,1,1,4,4,3,4,4,1,0,4,4
trailer,1,2,4,4,4,3,4,3,4,2,3,4,0,0,0,3,4,4,0,4,2,1,4,0,0,3,0,2,3,0,3,3,0,4
train,0,0,4,4,4,4,4,3,4,3,3,4,3,1,1,4,4,4,0,4,4,2,4,4,1,4,2,4,4,4,0,4,2,4
tram,0,0,4,4,4,4,4,3,4,2,2,4,3,1,1,4,4,4,0,4,4,2,4,3,1,4,2,4,4,4,0,1,2,4
truck (camion),0,0,4,4,4,2,4,4,4,2,2,4,4,4,0,4,4,4,0,4,4,0,4,3,1,4,4,4,4,4,1,3,4,4
truck (vrachtwagen),0,0,4,4,4,3,4,4,4,2,2,4,4,4,0,4,4,4,0,4,4,0,4,3,1,4,4,4,4,4,1,3,4,4
van,1,0,4,4,4,4,3,4,4,2,2,4,4,4,0,4,4,4,1,4,4,0,4,3,1,4,4,4,4,4,2,3,4,4
zeppelin,0,0,4,4,4,1,3,3,4,2,2,3,4,3,3,3,4,0,0,4,4,0,4,0,0,4,3,0,0,4,0,3,4,3
