exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,8.0,8.0,6.0,6.0,9.0,11.0,5.0,11.0,8.0,7.0,10.0,6.0,5.0,5.0,4.0,4.0,8.0,6.0,9.0,5.0,8.0,12.0,6.0,6.0,6.0,13.0,12.0,11.0,5.0
ballet,8.0,20.0,6.0,2.0,8.0,6.0,6.0,3.0,3.0,6.0,18.0,3.0,4.0,3.0,3.0,4.0,6.0,7.0,3.0,3.0,7.0,5.0,5.0,3.0,5.0,6.0,3.0,6.0,3.0,5.0
baseball,8.0,6.0,20.0,14.0,8.0,12.0,6.0,8.0,6.0,1.0,4.0,15.0,6.0,4.0,10.0,8.0,12.0,11.0,7.0,6.0,3.0,9.0,2.0,5.0,7.0,6.0,6.0,18.0,6.0,4.0
basketball,6.0,2.0,14.0,20.0,3.0,7.0,11.0,6.0,6.0,7.0,6.0,11.0,6.0,9.0,7.0,6.0,14.0,8.0,6.0,3.0,5.0,6.0,3.0,10.0,9.0,6.0,11.0,10.0,11.0,6.0
billiards,6.0,8.0,8.0,3.0,20.0,9.0,13.0,9.0,6.0,13.0,5.0,5.0,6.0,6.0,3.0,7.0,3.0,4.0,6.0,17.0,9.0,6.0,3.0,6.0,7.0,4.0,9.0,6.0,6.0,6.0
boxing,9.0,6.0,12.0,7.0,9.0,20.0,7.0,10.0,6.0,6.0,3.0,16.0,5.0,13.0,14.0,7.0,9.0,6.0,5.0,3.0,4.0,10.0,3.0,5.0,6.0,5.0,9.0,11.0,5.0,7.0
chess,11.0,6.0,6.0,11.0,13.0,7.0,20.0,2.0,3.0,10.0,5.0,11.0,4.0,5.0,11.0,3.0,6.0,6.0,6.0,3.0,3.0,12.0,3.0,11.0,3.0,6.0,6.0,5.0,6.0,6.0
cycling,5.0,3.0,8.0,6.0,9.0,10.0,2.0,20.0,3.0,3.0,4.0,6.0,5.0,5.0,5.0,4.0,6.0,4.0,5.0,6.0,6.0,6.0,3.0,3.0,6.0,4.0,4.0,6.0,8.0,11.0
fencing,11.0,3.0,6.0,6.0,6.0,6.0,3.0,3.0,20.0,4.0,3.0,6.0,3.0,10.0,5.0,3.0,7.0,7.0,6.0,6.0,5.0,6.0,2.0,5.0,5.0,6.0,6.0,3.0,6.0,6.0
golfing,8.0,6.0,1.0,7.0,13.0,6.0,10.0,3.0,4.0,20.0,4.0,6.0,2.0,11.0,6.0,9.0,9.0,3.0,9.0,6.0,5.0,8.0,3.0,14.0,5.0,6.0,6.0,16.0,5.0,5.0
gymnastics,7.0,18.0,4.0,6.0,5.0,3.0,5.0,4.0,3.0,4.0,20.0,8.0,5.0,6.0,5.0,6.0,4.0,8.0,6.0,3.0,9.0,5.0,5.0,6.0,3.0,6.0,3.0,5.0,6.0,6.0
handball,10.0,3.0,15.0,11.0,5.0,16.0,11.0,6.0,6.0,6.0,8.0,20.0,3.0,6.0,6.0,9.0,14.0,7.0,3.0,6.0,6.0,11.0,3.0,10.0,3.0,6.0,5.0,3.0,13.0,3.0
horseback riding,6.0,4.0,6.0,6.0,6.0,5.0,4.0,5.0,3.0,2.0,5.0,3.0,20.0,9.0,3.0,6.0,5.0,5.0,3.0,7.0,3.0,3.0,3.0,5.0,6.0,3.0,2.0,3.0,6.0,6.0
ice hockey,5.0,3.0,4.0,9.0,6.0,13.0,5.0,5.0,10.0,11.0,6.0,6.0,9.0,20.0,10.0,5.0,15.0,8.0,6.0,4.0,13.0,11.0,6.0,9.0,7.0,5.0,6.0,6.0,10.0,3.0
judo,5.0,3.0,10.0,7.0,3.0,14.0,11.0,5.0,5.0,6.0,5.0,6.0,3.0,10.0,20.0,9.0,11.0,8.0,6.0,3.0,11.0,3.0,6.0,12.0,3.0,5.0,4.0,12.0,8.0,6.0
long jump,4.0,4.0,8.0,6.0,7.0,7.0,3.0,4.0,3.0,9.0,6.0,9.0,6.0,5.0,9.0,20.0,6.0,12.0,3.0,7.0,5.0,6.0,5.0,4.0,5.0,3.0,6.0,9.0,6.0,5.0
rugby,4.0,6.0,12.0,14.0,3.0,9.0,6.0,6.0,7.0,9.0,4.0,14.0,5.0,15.0,11.0,6.0,20.0,6.0,5.0,9.0,7.0,13.0,3.0,11.0,6.0,9.0,9.0,10.0,11.0,5.0
running,8.0,7.0,11.0,8.0,4.0,6.0,6.0,4.0,7.0,3.0,8.0,7.0,5.0,8.0,8.0,12.0,6.0,20.0,6.0,6.0,3.0,10.0,6.0,8.0,6.0,8.0,4.0,8.0,6.0,18.0
sailing,6.0,3.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,9.0,6.0,3.0,3.0,6.0,6.0,3.0,5.0,6.0,20.0,8.0,9.0,4.0,9.0,6.0,18.0,11.0,5.0,5.0,3.0,6.0
shot-put,9.0,3.0,6.0,3.0,17.0,3.0,3.0,6.0,6.0,6.0,3.0,6.0,7.0,4.0,3.0,7.0,9.0,6.0,8.0,20.0,7.0,6.0,3.0,11.0,2.0,3.0,6.0,7.0,6.0,3.0
skiing,5.0,7.0,3.0,5.0,9.0,4.0,3.0,6.0,5.0,5.0,9.0,6.0,3.0,13.0,11.0,5.0,7.0,3.0,9.0,7.0,20.0,6.0,3.0,8.0,8.0,11.0,6.0,6.0,7.0,9.0
soccer,8.0,5.0,9.0,6.0,6.0,10.0,12.0,6.0,6.0,8.0,5.0,11.0,3.0,11.0,3.0,6.0,13.0,10.0,4.0,6.0,6.0,20.0,5.0,7.0,5.0,6.0,8.0,11.0,14.0,8.0
sport fishing,12.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,6.0,6.0,5.0,3.0,6.0,9.0,3.0,3.0,5.0,20.0,6.0,5.0,5.0,3.0,7.0,6.0,3.0
squash,6.0,3.0,5.0,10.0,6.0,5.0,11.0,3.0,5.0,14.0,6.0,10.0,5.0,9.0,12.0,4.0,11.0,8.0,6.0,11.0,8.0,7.0,6.0,20.0,7.0,7.0,12.0,18.0,11.0,7.0
surfing,6.0,5.0,7.0,9.0,7.0,6.0,3.0,6.0,5.0,5.0,3.0,3.0,6.0,7.0,3.0,5.0,6.0,6.0,18.0,2.0,8.0,5.0,5.0,7.0,20.0,13.0,5.0,5.0,3.0,6.0
swimming,6.0,6.0,6.0,6.0,4.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,3.0,5.0,5.0,3.0,9.0,8.0,11.0,3.0,11.0,6.0,5.0,7.0,13.0,20.0,8.0,5.0,9.0,11.0
table tennis,13.0,3.0,6.0,11.0,9.0,9.0,6.0,4.0,6.0,6.0,3.0,5.0,2.0,6.0,4.0,6.0,9.0,4.0,5.0,6.0,6.0,8.0,3.0,12.0,5.0,8.0,20.0,19.0,6.0,6.0
tennis,12.0,6.0,18.0,10.0,6.0,11.0,5.0,6.0,3.0,16.0,5.0,3.0,3.0,6.0,12.0,9.0,10.0,8.0,5.0,7.0,6.0,11.0,7.0,18.0,5.0,5.0,19.0,20.0,12.0,6.0
volleyball,11.0,3.0,6.0,11.0,6.0,5.0,6.0,8.0,6.0,5.0,6.0,13.0,6.0,10.0,8.0,6.0,11.0,6.0,3.0,6.0,7.0,14.0,6.0,11.0,3.0,9.0,6.0,12.0,20.0,5.0
walking,5.0,5.0,4.0,6.0,6.0,7.0,6.0,11.0,6.0,5.0,6.0,3.0,6.0,3.0,6.0,5.0,5.0,18.0,6.0,3.0,9.0,8.0,3.0,7.0,6.0,11.0,6.0,6.0,5.0,20.0
