exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
aap,15.0,9.0,3.0,18.0,22.0,5.0,1.0,18.0,9.0,21.0,3.0,10.0,5.0,1.0,8.0,17.0,6.0,12.0,13.0,9.0
bever,21.0,17.0,20.0,21.0,14.0,26.0,20.0,25.0,16.0,29.0,15.0,25.0,20.0,30.0,15.0,29.0,27.0,18.0,17.0,17.0
bizon,11.0,18.0,27.0,27.0,21.0,19.0,11.0,13.0,17.0,9.0,22.0,24.0,29.0,21.0,13.0,27.0,22.0,16.0,11.0,18.0
dromedaris,13.0,27.0,24.0,26.0,16.0,28.0,22.0,23.0,24.0,15.0,19.0,16.0,30.0,28.0,6.0,20.0,25.0,13.0,8.0,25.0
eekhoorn,23.0,21.0,29.0,19.0,20.0,20.0,25.0,26.0,15.0,27.0,14.0,28.0,13.0,29.0,30.0,11.0,26.0,6.0,18.0,12.0
egel,25.0,23.0,30.0,20.0,8.0,24.0,29.0,27.0,28.0,30.0,27.0,29.0,16.0,26.0,16.0,13.0,28.0,10.0,19.0,15.0
ezel,10.0,7.0,11.0,9.0,10.0,13.0,12.0,12.0,10.0,8.0,16.0,5.0,11.0,19.0,20.0,8.0,13.0,11.0,25.0,8.0
giraf,22.0,26.0,28.0,15.0,15.0,11.0,19.0,15.0,22.0,19.0,28.0,15.0,22.0,24.0,21.0,16.0,14.0,28.0,7.0,26.0
hamster,8.0,29.0,13.0,24.0,9.0,22.0,24.0,28.0,19.0,16.0,12.0,12.0,4.0,27.0,29.0,3.0,17.0,4.0,21.0,14.0
hert,9.0,14.0,21.0,11.0,13.0,10.0,13.0,11.0,13.0,18.0,10.0,13.0,15.0,25.0,18.0,14.0,21.0,24.0,14.0,6.0
hond,5.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,7.0,2.0,1.0,1.0,3.0,10.0,1.0,2.0,3.0,22.0,2.0
ijsbeer,16.0,13.0,23.0,22.0,26.0,23.0,18.0,10.0,29.0,13.0,23.0,27.0,21.0,17.0,12.0,30.0,24.0,19.0,4.0,24.0
kangoeroe,26.0,19.0,12.0,30.0,29.0,25.0,17.0,22.0,27.0,25.0,30.0,26.0,18.0,22.0,25.0,25.0,15.0,20.0,12.0,23.0
kat,4.0,2.0,2.0,4.0,3.0,2.0,3.0,5.0,5.0,6.0,1.0,2.0,2.0,4.0,7.0,2.0,1.0,1.0,23.0,4.0
koe,1.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,7.0,2.0,9.0,9.0,7.0,2.0,27.0,1.0
konijn,18.0,5.0,7.0,8.0,4.0,6.0,23.0,19.0,7.0,4.0,5.0,9.0,3.0,6.0,1.0,4.0,10.0,7.0,20.0,11.0
lama,12.0,14.0,25.0,28.0,18.0,27.0,16.0,14.0,25.0,11.0,21.0,23.0,23.0,11.0,26.0,24.0,29.0,21.0,10.0,19.0
leeuw,17.0,10.0,15.0,23.0,27.0,15.0,9.0,1.0,21.0,23.0,17.0,22.0,17.0,15.0,4.0,22.0,3.0,14.0,5.0,22.0
muis,27.0,8.0,14.0,7.0,11.0,12.0,26.0,29.0,6.0,26.0,6.0,11.0,8.0,16.0,14.0,10.0,23.0,9.0,29.0,13.0
neushoorn,24.0,25.0,18.0,16.0,23.0,18.0,28.0,24.0,23.0,22.0,25.0,17.0,25.0,23.0,24.0,18.0,12.0,25.0,2.0,29.0
nijlpaard,29.0,20.0,19.0,13.0,24.0,29.0,27.0,17.0,29.0,20.0,24.0,19.0,26.0,13.0,19.0,15.0,20.0,29.0,3.0,28.0
olifant,19.0,15.0,17.0,12.0,25.0,9.0,21.0,20.0,3.0,24.0,26.0,6.0,28.0,20.0,18.0,23.0,11.0,22.0,1.0,27.0
paard,2.0,6.0,6.0,2.0,5.0,4.0,14.0,7.0,12.0,5.0,11.0,4.0,19.0,7.0,17.0,7.0,4.0,12.0,24.0,3.0
schaap,3.0,16.0,5.0,6.0,7.0,7.0,5.0,9.0,8.0,3.0,13.0,7.0,12.0,8.0,2.0,5.0,5.0,8.0,26.0,7.0
tijger,7.0,12.0,16.0,29.0,28.0,16.0,10.0,4.0,20.0,14.0,18.0,20.0,9.0,10.0,5.0,21.0,9.0,23.0,6.0,21.0
varken,6.0,4.0,8.0,5.0,6.0,8.0,8.0,8.0,2.0,2.0,7.0,8.0,10.0,5.0,11.0,6.0,8.0,5.0,28.0,5.0
vleermuis,,30.0,31.0,10.0,30.0,30.0,30.0,30.0,30.0,28.0,29.0,30.0,27.0,14.0,23.0,28.0,30.0,17.0,30.0,30.0
vos,28.0,11.0,22.0,14.0,12.0,21.0,7.0,21.0,14.0,12.0,8.0,21.0,6.0,18.0,3.0,12.0,19.0,27.0,16.0,10.0
wolf,20.0,12.0,10.0,25.0,17.0,14.0,6.0,6.0,11.0,17.0,9.0,14.0,14.0,12.0,22.0,19.0,16.0,26.0,15.0,16.0
zebra,14.0,18.0,9.0,17.0,19.0,17.0,15.0,16.0,26.0,10.0,20.0,18.0,24.0,9.0,27.0,26.0,18.0,15.0,9.0,20.0
