exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
hammer,5.0,13.0,12.0,3.0,9.0,10.0,8.0,5.0,7.0,5.0,20.0,11.0,2.0,5.0,9.0,4.0,3.0,6.0,6.0,11.0,9.0,10.0,5.0,5.0,11.0,6.0,2.0,9.0,3.0,2.0
knife,3.0,5.0,4.0,2.0,5.0,10.0,7.0,7.0,10.0,8.0,11.0,20.0,2.0,5.0,5.0,2.0,5.0,10.0,9.0,10.0,4.0,13.0,5.0,7.0,10.0,5.0,2.0,2.0,4.0,3.0
lawn mower,5.0,9.0,9.0,3.0,4.0,7.0,3.0,4.0,3.0,10.0,2.0,2.0,20.0,2.0,2.0,3.0,3.0,4.0,6.0,9.0,2.0,3.0,2.0,3.0,10.0,2.0,4.0,3.0,8.0,3.0
level,5.0,3.0,5.0,5.0,3.0,4.0,10.0,5.0,8.0,4.0,5.0,5.0,2.0,20.0,4.0,3.0,5.0,4.0,2.0,2.0,10.0,2.0,6.0,2.0,10.0,3.0,3.0,7.0,5.0,2.0
nail,3.0,6.0,5.0,3.0,2.0,2.0,2.0,8.0,4.0,13.0,9.0,5.0,2.0,4.0,20.0,4.0,2.0,4.0,5.0,3.0,7.0,3.0,2.0,2.0,7.0,5.0,2.0,2.0,5.0,5.0
oil can,2.0,2.0,5.0,2.0,3.0,2.0,5.0,3.0,6.0,2.0,4.0,2.0,3.0,3.0,4.0,20.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0
paint brush,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,2.0,2.0,20.0,3.0,13.0,8.0,2.0,2.0,5.0,5.0,2.0,5.0,2.0,5.0,10.0,3.0
pickaxe,4.0,7.0,11.0,8.0,9.0,3.0,6.0,12.0,13.0,11.0,6.0,10.0,4.0,4.0,4.0,3.0,3.0,20.0,10.0,5.0,5.0,3.0,8.0,8.0,6.0,3.0,5.0,8.0,6.0,6.0
plane,6.0,4.0,14.0,10.0,8.0,3.0,2.0,16.0,2.0,12.0,6.0,9.0,6.0,2.0,5.0,4.0,13.0,10.0,20.0,3.0,4.0,2.0,9.0,13.0,5.0,4.0,4.0,4.0,17.0,7.0
plough,10.0,3.0,6.0,7.0,7.0,2.0,3.0,3.0,3.0,3.0,11.0,10.0,9.0,2.0,3.0,3.0,8.0,5.0,3.0,20.0,4.0,10.0,5.0,2.0,7.0,3.0,2.0,9.0,4.0,8.0
rope,2.0,9.0,2.0,2.0,4.0,2.0,2.0,8.0,2.0,3.0,9.0,4.0,2.0,10.0,7.0,3.0,2.0,5.0,4.0,4.0,20.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,8.0
saw,8.0,6.0,6.0,4.0,9.0,10.0,8.0,9.0,2.0,9.0,10.0,13.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,10.0,2.0,20.0,3.0,10.0,12.0,5.0,2.0,8.0,8.0,5.0
screw wrench (engelse sleutel),6.0,5.0,3.0,4.0,5.0,3.0,7.0,4.0,10.0,2.0,5.0,5.0,2.0,6.0,2.0,3.0,5.0,8.0,9.0,5.0,2.0,3.0,20.0,15.0,2.0,4.0,3.0,2.0,3.0,17.0
screwdriver,4.0,10.0,6.0,3.0,6.0,5.0,18.0,8.0,2.0,12.0,5.0,7.0,3.0,2.0,2.0,2.0,5.0,8.0,13.0,2.0,2.0,10.0,15.0,20.0,2.0,5.0,2.0,3.0,5.0,14.0
shovel,3.0,6.0,10.0,4.0,2.0,5.0,3.0,4.0,4.0,6.0,11.0,10.0,10.0,10.0,7.0,2.0,2.0,6.0,5.0,7.0,2.0,12.0,2.0,2.0,20.0,7.0,2.0,6.0,9.0,3.0
tongs,5.0,5.0,3.0,4.0,13.0,7.0,5.0,3.0,5.0,3.0,6.0,5.0,2.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,7.0,20.0,2.0,2.0,8.0,3.0
vacuum cleaner,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,20.0,2.0,3.0,2.0
wheelbarrow,9.0,3.0,2.0,2.0,7.0,7.0,3.0,2.0,3.0,4.0,9.0,2.0,3.0,7.0,2.0,2.0,5.0,8.0,4.0,9.0,2.0,8.0,2.0,3.0,6.0,2.0,2.0,20.0,2.0,2.0
wire brush,3.0,4.0,8.0,5.0,5.0,2.0,5.0,16.0,5.0,10.0,3.0,4.0,8.0,5.0,5.0,8.0,10.0,6.0,17.0,4.0,2.0,8.0,3.0,5.0,9.0,8.0,3.0,2.0,20.0,4.0
wrench,6.0,9.0,7.0,5.0,5.0,2.0,2.0,13.0,5.0,6.0,2.0,3.0,3.0,2.0,5.0,8.0,3.0,6.0,7.0,8.0,8.0,5.0,17.0,14.0,3.0,3.0,2.0,2.0,4.0,20.0
