exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,,,2.0,,,9.0,4.0,,,,,,,,10.0,,,8.0,,,7.0,
carp,,20.0,,,,,,,,,,,,,,,,,,,,,
cod,,,20.0,,,,,,,,,,,,,,,,,,,,
dolphin,2.0,,,20.0,,,11.0,7.0,,,,,,,,11.0,,,9.0,,,6.0,
eel,,,,,20.0,,,,,,,,,,,,,,,,,,
flatfish,,,,,,20.0,,,,,,,,,,,,,,,,,
goldfish,9.0,,,11.0,,,20.0,8.0,,,,,,,,4.0,,,7.0,,,7.0,
herring,4.0,,,7.0,,,8.0,20.0,,,,,,,,5.0,,,9.0,,,14.0,
orca,,,,,,,,,20.0,,,,,,,,,,,,,,
pike,,,,,,,,,,20.0,,,,,,,,,,,,,
piranha,,,,,,,,,,,20.0,,,,,,,,,,,,
plaice,,,,,,,,,,,,20.0,,,,,,,,,,,
ray,,,,,,,,,,,,,20.0,,,,,,,,,,
salmon,,,,,,,,,,,,,,20.0,,,,,,,,,
sardine,,,,,,,,,,,,,,,20.0,,,,,,,,
shark,10.0,,,11.0,,,4.0,5.0,,,,,,,,20.0,,,8.0,,,11.0,
sole,,,,,,,,,,,,,,,,,20.0,,,,,,
sperm whale,,,,,,,,,,,,,,,,,,20.0,,,,,
squid,8.0,,,9.0,,,7.0,9.0,,,,,,,,8.0,,,20.0,,,5.0,
stickleback,,,,,,,,,,,,,,,,,,,,20.0,,,
swordfish,,,,,,,,,,,,,,,,,,,,,20.0,,
trout,7.0,,,6.0,,,7.0,14.0,,,,,,,,11.0,,,5.0,,,20.0,
whale,,,,,,,,,,,,,,,,,,,,,,,20.0
