exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,9.0,15.0,3.0,17.0,,2.0,16.0,3.0,,,,,,,8.0,,,5.0,,,15.0,
carp,9.0,20.0,6.0,13.0,15.0,,3.0,9.0,8.0,,,,,,,7.0,,,4.0,,,10.0,
cod,15.0,6.0,20.0,1.0,16.0,,1.0,12.0,4.0,,,,,,,5.0,,,6.0,,,8.0,
dolphin,3.0,13.0,1.0,20.0,7.0,,1.0,2.0,3.0,,,,,,,16.0,,,5.0,,,8.0,
eel,17.0,15.0,16.0,7.0,20.0,,1.0,18.0,3.0,,,,,,,3.0,,,4.0,,,15.0,
flatfish,,,,,,20.0,,,,,,,,,,,,,,,,,
goldfish,2.0,3.0,1.0,1.0,1.0,,20.0,2.0,1.0,,,,,,,1.0,,,1.0,,,2.0,
herring,16.0,9.0,12.0,2.0,18.0,,2.0,20.0,3.0,,,,,,,6.0,,,5.0,,,6.0,
orca,3.0,8.0,4.0,3.0,3.0,,1.0,3.0,20.0,,,,,,,15.0,,,3.0,,,3.0,
pike,,,,,,,,,,20.0,,,,,,,,,,,,,
piranha,,,,,,,,,,,20.0,,,,,,,,,,,,
plaice,,,,,,,,,,,,20.0,,,,,,,,,,,
ray,,,,,,,,,,,,,20.0,,,,,,,,,,
salmon,,,,,,,,,,,,,,20.0,,,,,,,,,
sardine,,,,,,,,,,,,,,,20.0,,,,,,,,
shark,8.0,7.0,5.0,16.0,3.0,,1.0,6.0,15.0,,,,,,,20.0,,,4.0,,,5.0,
sole,,,,,,,,,,,,,,,,,20.0,,,,,,
sperm whale,,,,,,,,,,,,,,,,,,20.0,,,,,
squid,5.0,4.0,6.0,5.0,4.0,,1.0,5.0,3.0,,,,,,,4.0,,,20.0,,,8.0,
stickleback,,,,,,,,,,,,,,,,,,,,20.0,,,
swordfish,,,,,,,,,,,,,,,,,,,,,20.0,,
trout,15.0,10.0,8.0,8.0,15.0,,2.0,6.0,3.0,,,,,,,5.0,,,8.0,,,20.0,
whale,,,,,,,,,,,,,,,,,,,,,,,20.0
