exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,,,,,,,,,,,,,,,,,,,,,,
carp,,20.0,,,,,,,,,,,,,,,,,,,,,
cod,,,20.0,,,,,,,,,,,,,,,,,,,,
dolphin,,,,20.0,,,,,,,,,,,,,,,,,,,
eel,,,,,20.0,,,,,,,,,,,,,,,,,,
flatfish,,,,,,20.0,,,,,,,,,,,,,,,,,
goldfish,,,,,,,20.0,,,,,,,,,,,,,,,,
herring,,,,,,,,20.0,,,,,,,,,,,,,,,
orca,,,,,,,,,20.0,,,,,,,,,,,,,,
pike,,,,,,,,,,20.0,,,,,,,,,,,,,
piranha,,,,,,,,,,,20.0,,,,,,,,,,,,
plaice,,,,,,,,,,,,20.0,,,,,,,,,,,
ray,,,,,,,,,,,,,20.0,,,,,,,,,,
salmon,,,,,,,,,,,,,,20.0,,,,,,,,,
sardine,,,,,,,,,,,,,,,20.0,,,,,,,,
shark,,,,,,,,,,,,,,,,20.0,,,,,,,
sole,,,,,,,,,,,,,,,,,20.0,,,,,,
sperm whale,,,,,,,,,,,,,,,,,,20.0,,,,,
squid,,,,,,,,,,,,,,,,,,,20.0,,,,
stickleback,,,,,,,,,,,,,,,,,,,,20.0,,,
swordfish,,,,,,,,,,,,,,,,,,,,,20.0,,
trout,,,,,,,,,,,,,,,,,,,,,,20.0,
whale,,,,,,,,,,,,,,,,,,,,,,,20.0
