exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,1.0,0.1891304347826087,0.16086956521739132,0.18695652173913044,0.11956521739130435,0.3152173913043478,0.11956521739130435,0.1891304347826087,0.24130434782608695,0.23260869565217393,0.15,0.14565217391304347,0.15434782608695652,0.33260869565217394,0.21739130434782608,0.5391304347826087,0.20434782608695654,0.16086956521739132,0.20434782608695654,0.1673913043478261,0.2630434782608696,0.23260869565217393,0.14782608695652172,0.2673913043478261,0.1891304347826087,0.28043478260869564,0.14782608695652172,0.341304347826087,0.24782608695652172
beanie,0.1891304347826087,1.0,0.19375,0.2125,0.25625,0.14375,0.6958333333333333,0.31875,0.15625,0.22391304347826088,0.58125,0.26666666666666666,0.4326086956521739,0.21304347826086958,0.23958333333333334,0.34782608695652173,0.275,0.4521739130434782,0.24375,0.1934782608695652,0.1826086956521739,0.17083333333333334,0.2108695652173913,0.1625,0.21956521739130436,0.23695652173913043,0.17708333333333331,0.15,0.19791666666666669
belt,0.16086956521739132,0.19375,1.0,0.29166666666666663,0.17083333333333334,0.17916666666666667,0.22083333333333335,0.21458333333333335,0.15,0.2673913043478261,0.22708333333333336,0.33125,0.20869565217391303,0.21739130434782608,0.39791666666666664,0.23695652173913043,0.14166666666666666,0.2717391304347826,0.25,0.2391304347826087,0.2608695652173913,0.25833333333333336,0.17173913043478262,0.35625,0.1934782608695652,0.2673913043478261,0.33333333333333337,0.1826086956521739,0.14375
blouse,0.18695652173913044,0.2125,0.29166666666666663,1.0,0.19583333333333333,0.34375,0.21041666666666664,0.32916666666666666,0.34375,0.28695652173913044,0.19375,0.225,0.13695652173913045,0.20869565217391303,0.3625,0.5,0.37916666666666665,0.21739130434782608,0.6895833333333333,0.17173913043478262,0.2630434782608696,0.24375,0.2,0.4,0.4695652173913044,0.4717391304347826,0.24583333333333335,0.4913043478260869,0.2875
boots,0.11956521739130435,0.25625,0.17083333333333334,0.19583333333333333,1.0,0.12916666666666668,0.20416666666666666,0.2625,0.1875,0.21739130434782608,0.24375,0.17291666666666666,0.28260869565217395,0.17173913043478262,0.24583333333333335,0.2391304347826087,0.1875,0.2347826086956522,0.17291666666666666,0.5826086956521739,0.18043478260869567,0.14791666666666667,0.3630434782608696,0.23958333333333334,0.21739130434782608,0.15434782608695652,0.22291666666666665,0.1782608695652174,0.16875
bra,0.3152173913043478,0.14375,0.17916666666666667,0.34375,0.12916666666666668,1.0,0.15208333333333332,0.17083333333333334,0.32083333333333336,0.21739130434782608,0.10833333333333332,0.20625,0.19130434782608696,0.4913043478260869,0.19375,0.2630434782608696,0.2625,0.21304347826086958,0.18125,0.12608695652173912,0.21304347826086958,0.23541666666666666,0.2717391304347826,0.19375,0.23043478260869565,0.2847826086956522,0.21666666666666665,0.45869565217391306,0.19166666666666668
cap,0.11956521739130435,0.6958333333333333,0.22083333333333335,0.21041666666666664,0.20416666666666666,0.15208333333333332,1.0,0.24166666666666664,0.14583333333333331,0.22826086956521738,0.625,0.21458333333333335,0.20869565217391303,0.19130434782608696,0.19583333333333333,0.1782608695652174,0.15208333333333332,0.2782608695652174,0.19791666666666669,0.1934782608695652,0.25434782608695655,0.23541666666666666,0.18043478260869567,0.15625,0.2217391304347826,0.21304347826086958,0.21875,0.18695652173913044,0.22083333333333335
coat,0.1891304347826087,0.31875,0.21458333333333335,0.32916666666666666,0.2625,0.17083333333333334,0.24166666666666664,1.0,0.25833333333333336,0.3021739130434783,0.35416666666666663,0.27708333333333335,0.32173913043478264,0.13478260869565217,0.25,0.42826086956521736,0.25416666666666665,0.4608695652173913,0.3729166666666667,0.24782608695652172,0.1956521739130435,0.19166666666666668,0.20869565217391303,0.3875,0.33695652173913043,0.3652173913043478,0.23541666666666666,0.25652173913043474,0.30416666666666664
dress,0.24130434782608695,0.15625,0.15,0.34375,0.1875,0.32083333333333336,0.14583333333333331,0.25833333333333336,1.0,0.24130434782608695,0.2,0.28541666666666665,0.18043478260869567,0.29565217391304344,0.31875,0.26956521739130435,0.3458333333333333,0.2260869565217391,0.26458333333333334,0.2108695652173913,0.3239130434782609,0.5354166666666667,0.1565217391304348,0.4375,0.2739130434782609,0.24347826086956523,0.1375,0.3695652173913043,0.23333333333333334
dungarees,0.23260869565217393,0.22391304347826088,0.2673913043478261,0.28695652173913044,0.21739130434782608,0.21739130434782608,0.22826086956521738,0.3021739130434783,0.24130434782608695,1.0,0.2608695652173913,0.41521739130434787,0.1934782608695652,0.2217391304347826,0.5260869565217392,0.22391304347826088,0.33043478260869563,0.25,0.25,0.2717391304347826,0.4413043478260869,0.2152173913043478,0.2652173913043478,0.2608695652173913,0.2760869565217391,0.3173913043478261,0.1673913043478261,0.25434782608695655,0.3282608695652174
hat,0.15,0.58125,0.22708333333333336,0.19375,0.24375,0.10833333333333332,0.625,0.35416666666666663,0.2,0.2608695652173913,1.0,0.2,0.3239130434782609,0.17391304347826086,0.23125,0.1934782608695652,0.17916666666666667,0.30434782608695654,0.2875,0.2652173913043478,0.23043478260869565,0.21666666666666665,0.2347826086956522,0.27708333333333335,0.2108695652173913,0.1826086956521739,0.28125,0.14565217391304347,0.13958333333333334
jeans,0.14565217391304347,0.26666666666666666,0.33125,0.225,0.17291666666666666,0.20625,0.21458333333333335,0.27708333333333335,0.28541666666666665,0.41521739130434787,0.2,1.0,0.16956521739130434,0.2652173913043478,0.7270833333333333,0.30869565217391304,0.23541666666666666,0.2108695652173913,0.30833333333333335,0.22826086956521738,0.48478260869565215,0.33125,0.2739130434782609,0.19791666666666669,0.3108695652173913,0.3108695652173913,0.22291666666666665,0.35,0.4020833333333333
mittens,0.15434782608695652,0.4326086956521739,0.20869565217391303,0.13695652173913045,0.28260869565217395,0.19130434782608696,0.20869565217391303,0.32173913043478264,0.18043478260869567,0.1934782608695652,0.3239130434782609,0.16956521739130434,1.0,0.1782608695652174,0.17391304347826086,0.5239130434782608,0.1826086956521739,0.46521739130434786,0.21304347826086958,0.24782608695652172,0.24347826086956523,0.1782608695652174,0.2847826086956522,0.16956521739130434,0.25,0.15217391304347827,0.1934782608695652,0.23695652173913043,0.17391304347826086
panties,0.33260869565217394,0.21304347826086958,0.21739130434782608,0.20869565217391303,0.17173913043478262,0.4913043478260869,0.19130434782608696,0.13478260869565217,0.29565217391304344,0.2217391304347826,0.17391304347826086,0.2652173913043478,0.1782608695652174,1.0,0.33695652173913043,0.20434782608695654,0.3173913043478261,0.18478260869565216,0.2673913043478261,0.16521739130434782,0.4304347826086956,0.2782608695652174,0.3347826086956522,0.16304347826086957,0.21304347826086958,0.20652173913043476,0.21739130434782608,0.22391304347826088,0.1934782608695652
