exemplar,bouwt nesten,eet kleine dieren,eet wormen,fladdert,fluit,heeft een bek,heeft een snavel,heeft luchtzakken,heeft poten,heeft twee poten,heeft twee vleugels,heeft veren,heeft vleugels,in kooi,is een dier,is een trekvogel,kan lopen,kan vliegen,kan zich voortplanten,kraait 's morgens,kraaloogjes,leeft in het wild,legt eieren,tsjilpt,vind je in bomen,wordt soms als huisdier gehouden,wordt soms door mensen gegeten,zingt
arend,4,4,1,2,0,4,4,3,4,4,4,4,4,0,4,0,4,4,4,0,0,4,4,0,3,1,0,0
duif,4,0,2,4,0,4,4,3,4,4,4,4,4,0,4,0,4,4,4,0,0,4,4,0,4,2,4,0
eend,3,0,1,3,0,4,4,2,4,4,4,4,4,0,4,3,4,3,4,0,0,4,4,0,0,3,3,0
ekster,4,0,4,4,1,4,4,3,4,4,4,4,4,0,4,1,4,4,4,0,2,4,4,0,4,0,0,1
fazant,4,0,4,2,0,4,4,1,4,4,4,4,4,0,4,0,4,4,4,0,0,4,4,0,1,2,4,0
gier,4,4,0,2,0,4,4,3,4,4,4,4,4,0,4,0,4,4,4,0,0,4,4,0,3,0,0,0
haan,1,0,3,1,0,4,4,1,4,4,4,4,4,0,4,0,4,2,4,3,0,0,2,0,0,4,3,0
kalkoen,3,0,1,1,0,4,4,1,4,4,4,4,4,0,4,0,4,2,4,0,0,1,4,0,0,4,4,0
kanarie,4,0,1,4,4,4,4,3,4,4,4,4,4,4,4,0,4,4,4,0,0,2,4,2,4,4,0,3
kip,3,0,3,1,0,4,4,1,4,4,4,4,4,0,4,0,4,2,4,0,0,0,4,0,0,4,4,0
koekoek,3,0,4,3,1,4,4,3,4,4,4,4,4,1,4,1,4,4,4,0,0,4,4,0,4,0,0,1
kraai,4,1,4,4,0,4,4,3,4,4,4,4,4,0,4,1,4,4,4,1,3,4,4,0,4,0,0,0
mees,4,0,3,4,2,4,4,3,4,4,4,4,4,0,4,1,4,4,4,0,1,4,4,2,4,1,0,2
meeuw,4,1,0,4,0,4,4,3,4,4,4,4,4,0,4,1,4,4,4,0,0,4,4,0,1,0,0,0
merel,4,0,4,4,2,4,4,3,4,4,4,4,4,0,4,1,4,4,4,0,3,4,4,1,4,1,0,3
mus,4,0,2,4,2,4,4,3,4,4,4,4,4,0,4,0,4,4,4,0,2,4,4,4,4,0,0,2
ooievaar,4,2,2,3,1,4,4,3,4,4,4,4,4,0,4,3,4,4,4,0,0,4,4,0,3,1,0,0
papegaai,4,0,1,4,1,4,4,3,4,4,4,4,4,3,4,2,4,4,4,0,0,4,4,0,4,4,0,0
parkiet,4,0,1,3,2,4,4,3,4,4,4,4,4,4,4,0,4,4,4,0,0,2,4,1,4,4,0,2
pauw,4,0,3,1,1,4,4,1,4,4,4,4,4,0,4,0,4,2,4,0,0,3,4,0,0,4,0,1
pelikaan,4,2,0,2,0,4,4,2,4,4,4,4,4,0,4,1,4,4,4,0,0,4,4,0,2,0,0,0
pinguïn,3,2,0,1,0,4,4,2,4,4,4,2,4,0,4,0,4,0,4,0,0,4,4,0,0,0,0,0
reiger,4,2,1,3,0,4,4,3,4,4,4,4,4,0,4,3,4,4,4,0,0,4,4,0,3,0,0,0
roodborstje,4,0,3,4,2,4,4,3,4,4,4,4,4,0,4,0,4,4,4,0,1,4,4,2,4,0,0,1
specht,4,0,4,4,1,4,4,3,4,4,4,4,4,0,4,0,4,4,4,0,0,4,4,0,4,0,0,0
struisvogel,3,2,1,1,0,4,4,1,4,4,4,4,4,0,4,1,4,0,4,0,0,3,4,0,0,1,4,0
uil,4,4,2,3,0,4,4,3,4,4,4,4,4,0,4,0,4,4,4,0,0,4,4,0,4,0,0,0
valk,4,4,1,3,0,4,4,3,4,4,4,4,4,0,4,0,4,4,4,0,0,4,4,0,4,0,0,0
zwaan,3,1,1,2,0,4,4,2,4,4,4,4,4,0,4,2,4,4,4,0,0,4,4,0,1,3,0,1
zwaluw,4,1,3,4,1,4,4,3,4,4,4,4,4,0,4,4,4,4,4,0,0,3,3,0,2,0,0,2
