exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,14.0,4.0,6.0,7.0,7.0,5.0,2.0,4.0,17.0,15.0,2.0,4.0,5.0,7.0,13.0,3.0,5.0,7.0,15.0,1.0,10.0,2.0,8.0,7.0,4.0,4.0,4.0,4.0,17.0
airplane,14.0,20.0,7.0,10.0,9.0,7.0,5.0,2.0,6.0,18.0,11.0,7.0,4.0,4.0,5.0,12.0,2.0,12.0,5.0,14.0,6.0,9.0,5.0,1.0,11.0,5.0,7.0,7.0,9.0,12.0
bicycle,4.0,7.0,20.0,7.0,6.0,9.0,9.0,10.0,13.0,9.0,2.0,4.0,13.0,14.0,15.0,8.0,17.0,12.0,7.0,4.0,6.0,6.0,8.0,2.0,8.0,9.0,5.0,4.0,2.0,5.0
boat,6.0,10.0,7.0,20.0,4.0,8.0,7.0,5.0,4.0,6.0,18.0,5.0,7.0,5.0,4.0,5.0,7.0,7.0,7.0,14.0,5.0,5.0,7.0,7.0,8.0,1.0,8.0,2.0,8.0,10.0
bus,7.0,9.0,6.0,4.0,20.0,8.0,7.0,7.0,2.0,7.0,7.0,4.0,7.0,9.0,4.0,7.0,6.0,6.0,8.0,9.0,12.0,9.0,8.0,11.0,12.0,17.0,10.0,8.0,5.0,7.0
car,7.0,7.0,9.0,8.0,8.0,20.0,10.0,15.0,8.0,11.0,7.0,18.0,4.0,5.0,15.0,8.0,10.0,7.0,4.0,8.0,3.0,15.0,9.0,3.0,8.0,5.0,9.0,13.0,8.0,4.0
carriage,5.0,5.0,9.0,7.0,7.0,10.0,20.0,15.0,6.0,6.0,9.0,9.0,9.0,4.0,5.0,6.0,7.0,8.0,13.0,7.0,8.0,15.0,10.0,4.0,6.0,6.0,5.0,9.0,7.0,4.0
cart,2.0,2.0,10.0,5.0,7.0,15.0,15.0,20.0,9.0,5.0,6.0,9.0,10.0,9.0,6.0,8.0,8.0,5.0,16.0,4.0,5.0,9.0,13.0,8.0,12.0,5.0,10.0,11.0,12.0,5.0
go-cart,4.0,6.0,13.0,4.0,2.0,8.0,6.0,9.0,20.0,1.0,4.0,9.0,9.0,10.0,8.0,9.0,11.0,12.0,9.0,3.0,7.0,4.0,9.0,8.0,7.0,6.0,8.0,4.0,5.0,6.0
helicopter,17.0,18.0,9.0,6.0,7.0,11.0,6.0,5.0,1.0,20.0,8.0,4.0,8.0,9.0,10.0,10.0,6.0,4.0,3.0,13.0,1.0,4.0,8.0,8.0,6.0,6.0,6.0,4.0,6.0,5.0
hovercraft,15.0,11.0,2.0,18.0,7.0,7.0,9.0,6.0,4.0,8.0,20.0,10.0,4.0,5.0,8.0,15.0,4.0,7.0,8.0,13.0,4.0,9.0,6.0,4.0,7.0,7.0,7.0,7.0,4.0,16.0
jeep,2.0,7.0,4.0,5.0,4.0,18.0,9.0,9.0,9.0,4.0,10.0,20.0,4.0,4.0,6.0,4.0,7.0,4.0,5.0,2.0,6.0,6.0,13.0,8.0,3.0,3.0,6.0,10.0,10.0,2.0
kick scooter,4.0,4.0,13.0,7.0,7.0,4.0,9.0,10.0,9.0,8.0,4.0,4.0,20.0,4.0,8.0,4.0,8.0,13.0,10.0,7.0,4.0,4.0,7.0,5.0,5.0,5.0,1.0,2.0,5.0,4.0
