exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beanie,,20.0,1.0,1.0,1.0,2.0,12.0,5.0,1.0,,11.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,2.0
belt,,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,2.0,,1.0,,,1.0,,1.0
blouse,,1.0,1.0,20.0,1.0,2.0,1.0,6.0,6.0,,1.0,1.0,,,1.0,,9.0,,12.0,,,2.0,,9.0,,,2.0,,2.0
boots,,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0
bra,,2.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,2.0
cap,,12.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,,15.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0
coat,,5.0,1.0,6.0,1.0,1.0,1.0,20.0,6.0,,1.0,1.0,,,1.0,,6.0,,4.0,,,6.0,,5.0,,,1.0,,1.0
dress,,1.0,1.0,6.0,1.0,1.0,1.0,6.0,20.0,,1.0,1.0,,,2.0,,12.0,,8.0,,,9.0,,2.0,,,2.0,,5.0
dungarees,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
hat,,11.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,,20.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,2.0,,,2.0,,1.0
jeans,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,20.0,,,19.0,,2.0,,1.0,,,2.0,,1.0,,,1.0,,8.0
mittens,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
panties,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
pants,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,19.0,,,20.0,,6.0,,1.0,,,5.0,,2.0,,,1.0,,9.0
pullover,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
pyjamas,,1.0,1.0,9.0,1.0,1.0,1.0,6.0,12.0,,1.0,2.0,,,6.0,,20.0,,5.0,,,1.0,,4.0,,,1.0,,5.0
scarf,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
shirt,,1.0,1.0,12.0,1.0,1.0,1.0,4.0,8.0,,1.0,1.0,,,1.0,,5.0,,20.0,,,1.0,,5.0,,,2.0,,2.0
shoes,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
shorts,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
skirt,,1.0,2.0,2.0,1.0,1.0,1.0,6.0,9.0,,1.0,2.0,,,5.0,,1.0,,1.0,,,20.0,,4.0,,,1.0,,1.0
socks,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
suit,,1.0,1.0,9.0,1.0,1.0,1.0,5.0,2.0,,2.0,1.0,,,2.0,,4.0,,5.0,,,4.0,,20.0,,,2.0,,1.0
sweater,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
tie,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,1.0,,1.0,,2.0,,,1.0,,2.0,,,20.0,,1.0
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
tracksuit,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,,1.0,8.0,,,9.0,,5.0,,2.0,,,1.0,,1.0,,,1.0,,20.0
