exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,8.0,5.0,5.0,9.0,4.0,4.0,6.0,12.0,6.0,4.0,9.0,4.0,12.0,15.0,6.0,7.0,5.0,7.0,6.0,6.0,5.0,5.0
ballet,6.0,20.0,3.0,4.0,3.0,3.0,5.0,6.0,3.0,5.0,6.0,4.0,4.0,6.0,5.0,6.0,6.0,3.0,4.0,3.0,6.0,6.0,18.0,10.0,1.0,5.0,6.0,5.0,3.0,5.0
baseball,6.0,3.0,20.0,12.0,5.0,6.0,8.0,8.0,14.0,6.0,5.0,6.0,6.0,15.0,3.0,4.0,4.0,3.0,9.0,6.0,4.0,6.0,4.0,8.0,8.0,9.0,7.0,4.0,5.0,4.0
basketbal,6.0,4.0,12.0,20.0,5.0,8.0,5.0,9.0,9.0,3.0,6.0,8.0,3.0,9.0,3.0,6.0,4.0,3.0,5.0,9.0,5.0,7.0,9.0,8.0,8.0,11.0,6.0,8.0,6.0,6.0
biljarten,5.0,3.0,5.0,5.0,20.0,6.0,14.0,4.0,3.0,4.0,4.0,9.0,3.0,6.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,6.0,6.0,4.0,8.0,3.0,5.0,4.0,4.0,5.0
boksen,5.0,3.0,6.0,8.0,6.0,20.0,7.0,5.0,8.0,6.0,13.0,8.0,5.0,7.0,3.0,16.0,3.0,5.0,7.0,4.0,6.0,7.0,6.0,7.0,10.0,10.0,5.0,5.0,3.0,4.0
golf,6.0,5.0,8.0,5.0,14.0,7.0,20.0,5.0,4.0,12.0,4.0,9.0,6.0,5.0,4.0,7.0,6.0,4.0,9.0,4.0,6.0,8.0,6.0,8.0,5.0,5.0,9.0,6.0,8.0,7.0
handbal,6.0,6.0,8.0,9.0,4.0,5.0,5.0,20.0,6.0,5.0,7.0,7.0,6.0,8.0,3.0,6.0,5.0,3.0,6.0,5.0,10.0,6.0,4.0,6.0,9.0,12.0,6.0,6.0,6.0,3.0
hardlopen,8.0,3.0,14.0,9.0,3.0,8.0,4.0,6.0,20.0,5.0,6.0,8.0,6.0,11.0,6.0,5.0,8.0,3.0,6.0,6.0,5.0,7.0,4.0,8.0,12.0,4.0,10.0,7.0,6.0,7.0
ijshockey,5.0,5.0,6.0,3.0,4.0,6.0,12.0,5.0,5.0,20.0,4.0,7.0,3.0,6.0,6.0,9.0,8.0,3.0,7.0,9.0,4.0,5.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,8.0
