feature,freq
I never use it,5
baked in an oven,5
belongs to knife and fork,4
boils water,29
bought in a store,65
can be bought everywhere,4
can be brought to the beach,12
can be coloured,4
can be decorated,4
can be digital,11
can be dishwashed,18
can be hanged on the nose,4
can be held,5
can be made of different materials,18
can be made of different tissues,6
can be opened,4
can be printed with a design,10
can be something at a door,6
can be used as a heater,6
can be used as weapon,31
can be used for stirring,33
can be used several times,5
can be used to beat egg white,12
can be used to cut nails,4
can be used to hit somebody,11
can be used to make milkshake with,4
can be used to prick with,13
can be used to put something in,4
can be written on,8
can be written on with chalk,12
can become dirty,9
can break (stuk gaan),11
can burn something (in cooking),7
can burn you,13
can cut you,10
can defrost food,5
can get rusty,7
can go in dishwasher,9
can grill two sandwiches at once,5
can hold water,26
can hurt you,22
closes with cork,5
comes in different patterns,7
comes in very handy,84
consists of different parts,4
consists of two parts,4
contains a beverage,38
contains different curved bars,4
contains rice,4
does not melt in high temperature,4
does not produce sound,4
especially used by women,21
especially used for vegetables,16
everybody has it,39
exists in different brands,9
exists in different colors,169
exists in different forms,82
exists in different kinds,35
exists in different sizes (groottes),97
exists in different types,4
gets warm,75
has a blade,6
has a cap (dop),11
has a clock,7
has a cooker hood,7
has a dark color,5
has a filter,8
has a freezing compartment,10
has a griddle,9
has a grillfunction,6
has a grip,46
has a handle,39
has a hole,5
has a label,5
has a lid (deksel),20
has a little door,7
has a little lamp,20
has a looking window,7
has a plug,7
has a problem of scale,11
has a temperature switch,10
has a timer,7
has a turning button,11
has a wire (snoer),4
has an indicator,11
has an oven most of the time,7
has bags,11
has baking trays,7
has been existing for a long time,28
has different compartments,13
has different lengths,4
has different positions,6
has floral design,5
has holes,44
has knifes,5
has many buttons,23
has no smell,25
has no taste,7
has non-stick coating,4
has ribbons (linten),8
has teeth,41
has to be preheated,4
has to be put in socket,5
has to be sharpened sometimes,4
has to be washed after use,39
has two handles,48
has two legs,7
has two openings to put your fingers in,4
has two slots,5
hasn't been existing for such a long time,8
is a Western utensil,4
is a constellation,7
is a garment,4
is a home appliance,11
is a lever,4
is a luxury article,4
is a machine (apparaat),6
is a material,10
is a piece of equipment,5
is a piece of music,15
is a sort of pan,8
is an agressive person,4
is an object,11
is asian,18
