exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,4.0,8.0,3.0,5.0,5.0,6.0,2.0,8.0,4.0,5.0,6.0,1.0,16.0,4.0,8.0,8.0,6.0,4.0,10.0,7.0,6.0,9.0,5.0,2.0,6.0,3.0,3.0,4.0,5.0,7.0,12.0,5.0
bottle,4.0,20.0,9.0,9.0,6.0,7.0,4.0,4.0,18.0,9.0,5.0,5.0,5.0,8.0,5.0,6.0,6.0,4.0,5.0,4.0,10.0,8.0,4.0,5.0,2.0,9.0,6.0,4.0,6.0,4.0,14.0,7.0,3.0
bowl,8.0,9.0,20.0,5.0,12.0,1.0,6.0,14.0,18.0,2.0,5.0,3.0,3.0,8.0,5.0,8.0,7.0,4.0,5.0,13.0,15.0,18.0,15.0,5.0,3.0,6.0,5.0,3.0,5.0,1.0,9.0,16.0,18.0
can opener,3.0,9.0,5.0,20.0,7.0,8.0,10.0,7.0,6.0,8.0,8.0,6.0,4.0,8.0,6.0,9.0,8.0,7.0,5.0,6.0,6.0,6.0,6.0,15.0,16.0,7.0,14.0,7.0,12.0,15.0,6.0,16.0,9.0
colander,5.0,6.0,12.0,7.0,20.0,6.0,5.0,9.0,1.0,4.0,5.0,9.0,2.0,5.0,4.0,7.0,4.0,6.0,7.0,4.0,7.0,8.0,6.0,9.0,19.0,4.0,10.0,2.0,6.0,5.0,13.0,9.0,6.0
electric kettle,5.0,7.0,1.0,8.0,6.0,20.0,9.0,6.0,10.0,9.0,5.0,7.0,4.0,3.0,8.0,8.0,18.0,17.0,18.0,7.0,5.0,6.0,6.0,5.0,9.0,1.0,8.0,11.0,7.0,13.0,6.0,5.0,4.0
fork,6.0,4.0,6.0,10.0,5.0,9.0,20.0,4.0,5.0,17.0,3.0,18.0,14.0,8.0,2.0,5.0,7.0,10.0,3.0,6.0,7.0,5.0,8.0,16.0,4.0,16.0,7.0,5.0,5.0,4.0,9.0,18.0,14.0
fridge,2.0,4.0,14.0,7.0,9.0,6.0,4.0,20.0,8.0,6.0,4.0,4.0,8.0,17.0,5.0,6.0,5.0,2.0,17.0,5.0,7.0,1.0,8.0,8.0,2.0,5.0,5.0,16.0,8.0,2.0,13.0,5.0,6.0
glass,8.0,18.0,18.0,6.0,1.0,10.0,5.0,8.0,20.0,6.0,3.0,4.0,17.0,6.0,17.0,4.0,7.0,18.0,4.0,4.0,5.0,8.0,7.0,7.0,2.0,6.0,3.0,6.0,5.0,5.0,6.0,9.0,8.0
grater,4.0,9.0,2.0,8.0,4.0,9.0,17.0,6.0,6.0,20.0,10.0,3.0,3.0,6.0,5.0,4.0,4.0,6.0,2.0,4.0,4.0,6.0,5.0,17.0,16.0,16.0,8.0,6.0,7.0,5.0,8.0,16.0,8.0
kettle,5.0,5.0,5.0,8.0,5.0,5.0,3.0,4.0,3.0,10.0,20.0,5.0,17.0,5.0,8.0,1.0,11.0,17.0,18.0,6.0,11.0,18.0,4.0,3.0,8.0,5.0,4.0,18.0,5.0,15.0,15.0,8.0,13.0
knife,6.0,5.0,3.0,6.0,9.0,7.0,18.0,4.0,4.0,3.0,5.0,20.0,8.0,5.0,3.0,2.0,10.0,7.0,9.0,4.0,15.0,7.0,5.0,16.0,7.0,16.0,15.0,4.0,4.0,4.0,5.0,3.0,6.0
microwave oven,1.0,5.0,3.0,4.0,2.0,4.0,14.0,8.0,17.0,3.0,17.0,8.0,20.0,8.0,6.0,6.0,18.0,5.0,8.0,14.0,5.0,5.0,15.0,8.0,4.0,2.0,5.0,17.0,8.0,17.0,5.0,8.0,10.0
mixer,16.0,8.0,8.0,8.0,5.0,3.0,8.0,17.0,6.0,6.0,5.0,5.0,8.0,20.0,16.0,8.0,4.0,7.0,18.0,7.0,14.0,1.0,4.0,8.0,4.0,4.0,4.0,9.0,13.0,18.0,5.0,17.0,2.0
mug,4.0,5.0,5.0,6.0,4.0,8.0,2.0,5.0,17.0,5.0,8.0,3.0,6.0,16.0,20.0,4.0,6.0,8.0,1.0,1.0,8.0,5.0,6.0,6.0,8.0,16.0,5.0,3.0,8.0,5.0,8.0,7.0,7.0
nutcracker,8.0,6.0,8.0,9.0,7.0,8.0,5.0,6.0,4.0,4.0,1.0,2.0,6.0,8.0,4.0,20.0,1.0,6.0,3.0,6.0,4.0,4.0,5.0,7.0,9.0,5.0,4.0,9.0,14.0,2.0,7.0,10.0,5.0
oven,8.0,6.0,7.0,8.0,4.0,18.0,7.0,5.0,7.0,4.0,11.0,10.0,18.0,4.0,6.0,1.0,20.0,8.0,2.0,7.0,15.0,7.0,2.0,4.0,4.0,8.0,7.0,10.0,7.0,14.0,6.0,6.0,16.0
pan,6.0,4.0,4.0,7.0,6.0,17.0,10.0,2.0,18.0,6.0,17.0,7.0,5.0,7.0,8.0,6.0,8.0,20.0,3.0,7.0,6.0,18.0,2.0,1.0,3.0,3.0,8.0,14.0,7.0,9.0,9.0,8.0,19.0
percolator,4.0,5.0,5.0,5.0,7.0,18.0,3.0,17.0,4.0,2.0,18.0,9.0,8.0,18.0,1.0,3.0,2.0,3.0,20.0,4.0,5.0,4.0,4.0,8.0,6.0,4.0,5.0,15.0,5.0,17.0,7.0,6.0,16.0
place mat,10.0,4.0,13.0,6.0,4.0,7.0,6.0,5.0,4.0,4.0,6.0,4.0,14.0,7.0,1.0,6.0,7.0,7.0,4.0,20.0,3.0,14.0,2.0,4.0,5.0,14.0,4.0,6.0,2.0,8.0,4.0,9.0,1.0
plate,7.0,10.0,15.0,6.0,7.0,5.0,7.0,7.0,5.0,4.0,11.0,15.0,5.0,14.0,8.0,4.0,15.0,6.0,5.0,3.0,20.0,14.0,10.0,5.0,15.0,2.0,9.0,4.0,13.0,4.0,4.0,10.0,14.0
pot,6.0,8.0,18.0,6.0,8.0,6.0,5.0,1.0,8.0,6.0,18.0,7.0,5.0,1.0,5.0,4.0,7.0,18.0,4.0,14.0,14.0,20.0,9.0,2.0,12.0,7.0,4.0,8.0,4.0,5.0,4.0,7.0,8.0
scales,9.0,4.0,15.0,6.0,6.0,6.0,8.0,8.0,7.0,5.0,4.0,5.0,15.0,4.0,6.0,5.0,2.0,2.0,4.0,2.0,10.0,9.0,20.0,3.0,8.0,8.0,5.0,5.0,10.0,3.0,2.0,3.0,4.0
scissors,5.0,5.0,5.0,15.0,9.0,5.0,16.0,8.0,7.0,17.0,3.0,16.0,8.0,8.0,6.0,7.0,4.0,1.0,8.0,4.0,5.0,2.0,3.0,20.0,4.0,9.0,18.0,17.0,6.0,2.0,10.0,16.0,6.0
