feature,freq
Indians or Afrikan,4
adores sweetness,23
also lives in the city,7
always falls on its paws,5
appears in comics,4
appears in fairy tales and stories,40
appears in songs,12
appears in the tv-programme Skippy,6
"as the saying goes ""ain the grass""",5
associated with vampires,6
assosciated with wisdom,5
attaches to the body,18
attacks,6
attic,6
barks,17
beautiful colours,14
becomes a butterfly,9
becomes cocoon,16
big ears,14
bites,48
bleats (blaat),14
bleats (mekkert),5
blows up its cheeks,7
brays,7
breaths under water,5
breeds rapidly,4
brings children,23
builds dams,12
builds nests,112
builds nests at high altitude,4
bushy tail,18
buzzes,73
cackles,8
can also refer to a tent stake,7
can be a greeting,7
can be aggressive,22
can be bred,25
"can be brown, black, white, grey",4
can be caught,11
can be cooked in different ways,14
can be cured,7
can be dangerous,14
can be disadvantageous to harvest,5
can be fed,4
can be filled up,11
can be found in a fish shop,15
can be found in the ardennes,8
can be killed with a fly swatter,6
can be lethal to man,4
can be poisonous,37
can be seen on safaris,5
can be taught tricks,4
can be trained,12
can be used in a salad,5
can be won at a fair,11
can become pest,10
can cause much hinder,11
can climb up a wall,7
can climb well,12
can do without water for long periods,5
can eat people,4
can fly,341
can have different colors,61
can jump far,48
can kill people,5
can live for a long time without food,4
can live to a ripe old age,16
can loose its tail,10
can open its tail,4
can purr,11
can see in the dark,12
can sing beautifully,5
can store food in its bill,5
can swim,148
can talk,22
can turn his head very far,5
can't fly,30
carries a ring,4
carries its child in a pouch,6
carries over diseases,9
cartoon figure,30
catches mice,10
cattle-like animal,6
causes itching,50
chews the cud,8
children like to catch them,4
chirps (tjirpt),9
chirps (tsjilpt),23
climbs in trees,8
clucks on trees,7
collects nuts,4
comes out of a cocoon,13
comes to the surface when it rains,8
comes up to light,20
comes up to the surface for air,7
comes up when it rains,4
communicates with its congeners,13
compound eyes,14
crawls,74
crawls up trees,4
creaks when killed,14
crows,12
cumbersome,13
curly tail,14
dark colour,33
descend from the dinosaur,5
descends from wolves,4
difficult to exterminate,10
digs holes,6
does not lay eggs,7
does not live in Belgium,44
does not migrate in the winter,23
does not smell well,4
does not taste well,27
doesn't have 1000 paws,5
doesn't herd,4
doesn't live in our country,31
doesn't live long,21
doesn't live on land,12
doesn't make a sound,36
doesn't sting,10
drinks water,9
earths,5
eats acorns,7
eats bananas,6
eats berries,4
eats bread,19
eats cheese,8
eats chicken,7
eats everything,6
eats fish,133
eats flies,9
eats food for fish,4
eats frogs,5
eats from flowers,5
eats fruit,6
eats grain,26
eats grass,48
eats hay,4
eats insects,102
eats leaves from trees,15
eats mice,23
eats nectar,9
eats nuts,12
eats people,7
eats plankton,26
eats plant lice,5
eats plants,83
eats rats and mice,15
eats salad,4
eats seals,5
eats seed,22
eats small animals,24
eats worms,37
endangered species,82
especially lives at the coast,7
especially lives in the country,5
especially occurs in the winter,6
exists for ages,11
exists in different sizes and kinds,49
external skeleton,4
extracts nectar from flowers,10
family of the camel,7
family of the dog,13
family of the horse,11
feels soft,34
feline,21
filtrate food out of the water with its bill,4
flat tail,7
flies high,8
flies in formation,4
floats on water,5
fluffy,4
flutters,13
fragile,7
frightens people,33
gabbles,6
gets lambs,12
gives milk,29
gives pain,26
glides,14
gnaws on everything,6
goes from flower to flower,5
goes slowely,5
good sense of smell,4
graceful,17
grazes,5
grey-white,17
hairy (harig),48
hard,6
has a 'collar' in its neck,4
has a beautiful tail,10
has a big bill,22
has a big mouth,23
has a bill,136
has a bill with a crop,5
has a crest,16
has a fin on its back,14
has a flat head,4
has a fur (vacht),34
has a head,5
has a hooked bill,9
has a horn,13
has a hump to store water,5
has a hunch,24
has a large tail,8
has a large wingspread,28
has a long bill,31
has a long neck,66
has a long nose in the shape of a sword,8
has a long tail,72
has a long tongue,36
has a mouth,5
