exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,12.0,11.0,9.0,14.0,9.0,18.0,17.0,12.0,12.0,10.0,17.0,14.0,16.0,9.0,9.0,13.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,12.0,9.0,14.0,10.0,11.0
aardbei,12.0,20.0,12.0,12.0,13.0,10.0,16.0,14.0,15.0,14.0,11.0,14.0,16.0,12.0,12.0,11.0,11.0,13.0,12.0,12.0,12.0,10.0,11.0,12.0,11.0,13.0,4.0,12.0,11.0,11.0
abrikoos,11.0,12.0,20.0,9.0,14.0,11.0,13.0,11.0,5.0,17.0,11.0,11.0,14.0,15.0,11.0,12.0,12.0,10.0,8.0,11.0,19.0,10.0,11.0,13.0,19.0,12.0,11.0,16.0,13.0,12.0
ananas,9.0,12.0,9.0,20.0,13.0,12.0,8.0,8.0,9.0,9.0,7.0,11.0,4.0,9.0,13.0,14.0,9.0,15.0,10.0,12.0,7.0,16.0,13.0,11.0,12.0,8.0,16.0,8.0,15.0,6.0
appel,14.0,13.0,14.0,13.0,20.0,14.0,13.0,15.0,14.0,14.0,8.0,16.0,12.0,13.0,13.0,11.0,11.0,14.0,11.0,13.0,16.0,12.0,11.0,19.0,17.0,11.0,9.0,16.0,19.0,12.0
banaan,9.0,10.0,11.0,12.0,14.0,20.0,11.0,7.0,8.0,9.0,11.0,14.0,13.0,11.0,9.0,11.0,9.0,9.0,11.0,8.0,13.0,8.0,14.0,11.0,13.0,9.0,11.0,11.0,11.0,10.0
bosbes,18.0,16.0,13.0,8.0,13.0,11.0,20.0,19.0,12.0,12.0,14.0,16.0,16.0,16.0,12.0,11.0,12.0,11.0,11.0,8.0,9.0,11.0,8.0,11.0,15.0,11.0,6.0,11.0,11.0,14.0
braambessen,17.0,14.0,11.0,8.0,15.0,7.0,19.0,20.0,11.0,12.0,11.0,16.0,18.0,17.0,13.0,12.0,6.0,8.0,11.0,10.0,11.0,12.0,11.0,10.0,12.0,12.0,4.0,14.0,9.0,10.0
citroen,12.0,15.0,5.0,9.0,14.0,8.0,12.0,11.0,20.0,17.0,11.0,9.0,11.0,13.0,11.0,9.0,16.0,11.0,11.0,16.0,11.0,12.0,16.0,12.0,12.0,13.0,18.0,15.0,19.0,9.0
clementine,12.0,14.0,17.0,9.0,14.0,9.0,12.0,12.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dadels,10.0,11.0,11.0,7.0,8.0,11.0,14.0,11.0,11.0,0.0,20.0,11.0,11.0,12.0,14.0,8.0,17.0,9.0,17.0,9.0,16.0,12.0,18.0,8.0,14.0,17.0,8.0,11.0,19.0,11.0
druif,17.0,14.0,11.0,11.0,16.0,14.0,16.0,16.0,9.0,0.0,11.0,20.0,8.0,14.0,11.0,7.0,12.0,13.0,14.0,9.0,12.0,10.0,9.0,9.0,14.0,11.0,8.0,14.0,7.0,17.0
framboos,14.0,16.0,14.0,4.0,12.0,13.0,16.0,18.0,11.0,0.0,11.0,8.0,20.0,18.0,12.0,12.0,12.0,18.0,12.0,8.0,11.0,11.0,9.0,17.0,12.0,7.0,9.0,15.0,13.0,18.0
kers,16.0,12.0,15.0,9.0,13.0,11.0,16.0,17.0,13.0,0.0,12.0,14.0,18.0,20.0,11.0,11.0,4.0,9.0,7.0,9.0,11.0,15.0,11.0,10.0,13.0,8.0,5.0,12.0,12.0,12.0
kiwi,9.0,12.0,11.0,13.0,13.0,9.0,12.0,13.0,11.0,0.0,14.0,11.0,12.0,11.0,20.0,6.0,4.0,12.0,12.0,8.0,15.0,7.0,11.0,14.0,17.0,8.0,7.0,16.0,11.0,11.0
kokosnoot,9.0,11.0,12.0,14.0,11.0,11.0,11.0,12.0,9.0,0.0,8.0,7.0,12.0,11.0,6.0,20.0,9.0,14.0,16.0,8.0,9.0,10.0,12.0,9.0,13.0,10.0,12.0,12.0,8.0,7.0
limoen,13.0,11.0,12.0,9.0,11.0,9.0,12.0,6.0,16.0,0.0,17.0,12.0,12.0,4.0,4.0,9.0,20.0,11.0,17.0,12.0,13.0,11.0,11.0,7.0,12.0,12.0,12.0,5.0,12.0,8.0
lychee,11.0,13.0,10.0,15.0,14.0,9.0,11.0,8.0,11.0,0.0,9.0,13.0,18.0,9.0,12.0,14.0,11.0,20.0,19.0,17.0,12.0,12.0,15.0,12.0,7.0,19.0,15.0,11.0,18.0,5.0
mango,11.0,12.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,0.0,17.0,14.0,12.0,7.0,12.0,16.0,17.0,19.0,20.0,8.0,12.0,6.0,11.0,12.0,11.0,7.0,8.0,14.0,8.0,13.0
meloen,11.0,12.0,11.0,12.0,13.0,8.0,8.0,10.0,16.0,0.0,9.0,9.0,8.0,9.0,8.0,8.0,12.0,17.0,8.0,20.0,13.0,15.0,14.0,12.0,16.0,11.0,4.0,12.0,13.0,9.0
nectarine,11.0,12.0,19.0,7.0,16.0,13.0,9.0,11.0,11.0,0.0,16.0,12.0,11.0,11.0,15.0,9.0,13.0,12.0,12.0,13.0,20.0,8.0,14.0,12.0,12.0,14.0,17.0,8.0,11.0,8.0
papaya,9.0,10.0,10.0,16.0,12.0,8.0,11.0,12.0,12.0,0.0,12.0,10.0,11.0,15.0,7.0,10.0,11.0,12.0,6.0,15.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0
passievrucht,11.0,11.0,11.0,13.0,11.0,14.0,8.0,11.0,16.0,0.0,18.0,9.0,9.0,11.0,11.0,12.0,11.0,15.0,11.0,14.0,14.0,0.0,20.0,12.0,0.0,0.0,0.0,4.0,18.0,8.0
peer,11.0,12.0,13.0,11.0,19.0,11.0,11.0,10.0,12.0,0.0,8.0,9.0,17.0,10.0,14.0,9.0,7.0,12.0,12.0,12.0,12.0,0.0,0.0,20.0,30.0,11.0,13.0,16.0,13.0,11.0
perzik,11.0,11.0,19.0,12.0,17.0,13.0,15.0,12.0,12.0,0.0,14.0,14.0,12.0,13.0,17.0,13.0,12.0,7.0,11.0,16.0,12.0,0.0,0.0,19.0,20.0,20.0,10.0,14.0,14.0,8.0
pompelmoes,12.0,13.0,12.0,8.0,11.0,9.0,11.0,12.0,13.0,0.0,17.0,11.0,7.0,8.0,8.0,10.0,12.0,19.0,7.0,11.0,14.0,0.0,0.0,11.0,8.0,20.0,16.0,17.0,13.0,10.0
pompoen,9.0,4.0,11.0,16.0,9.0,11.0,6.0,4.0,18.0,0.0,8.0,8.0,9.0,5.0,7.0,12.0,12.0,15.0,8.0,4.0,17.0,0.0,0.0,13.0,10.0,13.0,20.0,19.0,17.0,11.0
pruim,14.0,12.0,16.0,8.0,16.0,11.0,11.0,14.0,15.0,0.0,11.0,14.0,15.0,12.0,16.0,12.0,5.0,11.0,14.0,12.0,8.0,0.0,4.0,16.0,14.0,17.0,8.0,20.0,26.0,14.0
sinaasappel,10.0,11.0,13.0,15.0,19.0,11.0,11.0,9.0,19.0,0.0,19.0,7.0,13.0,12.0,11.0,8.0,12.0,18.0,8.0,13.0,11.0,14.0,18.0,13.0,14.0,13.0,17.0,15.0,20.0,9.0
vijg,11.0,11.0,12.0,6.0,12.0,10.0,14.0,10.0,9.0,0.0,11.0,17.0,18.0,12.0,11.0,7.0,8.0,5.0,13.0,9.0,8.0,18.0,8.0,11.0,8.0,10.0,11.0,14.0,9.0,20.0
