exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,11.0,5.0,4.0,6.0,4.0,16.0,18.0,5.0,5.0,7.0,12.0,12.0,5.0,6.0,6.0,8.0,7.0,4.0,4.0,5.0,4.0,11.0,5.0,8.0,5.0,4.0,6.0,4.0,5.0
aardbei,11.0,20.0,8.0,8.0,6.0,5.0,9.0,11.0,6.0,8.0,6.0,7.0,13.0,6.0,8.0,5.0,7.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,9.0,4.0,4.0,6.0,6.0,9.0
abrikoos,5.0,8.0,20.0,8.0,12.0,8.0,6.0,5.0,7.0,16.0,12.0,8.0,4.0,7.0,6.0,5.0,5.0,8.0,14.0,11.0,17.0,12.0,9.0,8.0,17.0,9.0,6.0,14.0,11.0,11.0
ananas,4.0,8.0,8.0,20.0,5.0,9.0,4.0,4.0,8.0,6.0,7.0,4.0,5.0,6.0,7.0,11.0,4.0,8.0,6.0,11.0,7.0,9.0,8.0,8.0,12.0,9.0,3.0,5.0,8.0,9.0
appel,6.0,6.0,12.0,5.0,20.0,6.0,4.0,4.0,7.0,9.0,5.0,9.0,4.0,5.0,9.0,4.0,8.0,4.0,8.0,8.0,9.0,8.0,6.0,8.0,8.0,7.0,4.0,11.0,8.0,8.0
banaan,4.0,5.0,8.0,9.0,6.0,20.0,3.0,4.0,6.0,5.0,8.0,5.0,4.0,7.0,9.0,5.0,5.0,8.0,11.0,10.0,7.0,8.0,5.0,8.0,4.0,4.0,4.0,4.0,9.0,8.0
bosbes,16.0,9.0,6.0,4.0,4.0,3.0,20.0,18.0,4.0,5.0,6.0,12.0,14.0,8.0,5.0,3.0,8.0,8.0,7.0,5.0,6.0,4.0,8.0,4.0,4.0,4.0,3.0,7.0,4.0,9.0
braambessen,18.0,11.0,5.0,4.0,4.0,4.0,18.0,20.0,6.0,5.0,11.0,8.0,17.0,7.0,8.0,3.0,4.0,6.0,6.0,4.0,5.0,4.0,5.0,4.0,15.0,6.0,4.0,7.0,6.0,11.0
citroen,5.0,6.0,7.0,8.0,7.0,6.0,4.0,6.0,20.0,16.0,6.0,11.0,6.0,6.0,8.0,6.0,18.0,9.0,8.0,7.0,9.0,4.0,11.0,6.0,8.0,16.0,6.0,6.0,16.0,8.0
clementine,5.0,8.0,16.0,6.0,9.0,5.0,5.0,5.0,16.0,20.0,7.0,5.0,4.0,6.0,9.0,4.0,16.0,8.0,8.0,8.0,9.0,6.0,7.0,6.0,11.0,16.0,4.0,9.0,17.0,11.0
dadels,7.0,6.0,12.0,7.0,5.0,8.0,6.0,11.0,6.0,7.0,20.0,14.0,7.0,6.0,6.0,11.0,9.0,14.0,9.0,9.0,7.0,8.0,12.0,7.0,9.0,6.0,4.0,11.0,4.0,15.0
druif,12.0,7.0,8.0,4.0,9.0,5.0,12.0,8.0,11.0,5.0,14.0,20.0,12.0,17.0,5.0,4.0,5.0,8.0,11.0,6.0,11.0,6.0,8.0,9.0,9.0,6.0,4.0,11.0,5.0,14.0
framboos,12.0,13.0,4.0,5.0,4.0,4.0,14.0,17.0,6.0,4.0,7.0,12.0,20.0,9.0,7.0,3.0,6.0,6.0,4.0,6.0,4.0,4.0,8.0,4.0,7.0,9.0,2.0,6.0,7.0,6.0
kers,5.0,6.0,7.0,6.0,5.0,7.0,8.0,7.0,6.0,6.0,6.0,17.0,9.0,20.0,11.0,3.0,7.0,8.0,8.0,6.0,9.0,4.0,6.0,8.0,6.0,6.0,3.0,11.0,6.0,8.0
kiwi,6.0,8.0,6.0,7.0,9.0,9.0,5.0,8.0,8.0,9.0,6.0,5.0,7.0,11.0,20.0,9.0,7.0,13.0,11.0,6.0,10.0,9.0,11.0,6.0,11.0,5.0,4.0,11.0,8.0,13.0
kokosnoot,6.0,5.0,5.0,11.0,4.0,5.0,3.0,3.0,6.0,4.0,11.0,4.0,3.0,3.0,9.0,20.0,8.0,9.0,7.0,11.0,8.0,8.0,8.0,5.0,4.0,4.0,4.0,6.0,6.0,6.0
limoen,8.0,7.0,5.0,4.0,8.0,5.0,8.0,4.0,18.0,16.0,9.0,5.0,6.0,7.0,7.0,8.0,20.0,14.0,6.0,9.0,12.0,6.0,8.0,8.0,12.0,15.0,2.0,8.0,17.0,5.0
lychee,7.0,6.0,8.0,8.0,4.0,8.0,8.0,6.0,9.0,8.0,14.0,8.0,6.0,8.0,13.0,9.0,14.0,20.0,11.0,11.0,8.0,4.0,11.0,8.0,8.0,6.0,3.0,12.0,10.0,14.0
mango,4.0,5.0,14.0,6.0,8.0,11.0,7.0,6.0,8.0,8.0,9.0,11.0,4.0,8.0,11.0,7.0,6.0,11.0,20.0,15.0,13.0,15.0,8.0,8.0,14.0,11.0,7.0,14.0,7.0,8.0
meloen,4.0,5.0,11.0,11.0,8.0,10.0,5.0,4.0,7.0,8.0,9.0,6.0,6.0,6.0,6.0,11.0,9.0,11.0,15.0,20.0,9.0,9.0,7.0,6.0,11.0,14.0,6.0,11.0,8.0,7.0
nectarine,5.0,6.0,17.0,7.0,9.0,7.0,6.0,5.0,9.0,9.0,7.0,11.0,4.0,9.0,10.0,8.0,12.0,8.0,13.0,9.0,20.0,8.0,7.0,8.0,18.0,7.0,7.0,17.0,9.0,6.0
papaya,4.0,8.0,12.0,9.0,8.0,8.0,4.0,4.0,4.0,6.0,8.0,6.0,4.0,4.0,9.0,8.0,6.0,4.0,15.0,9.0,8.0,20.0,8.0,9.0,8.0,7.0,13.0,11.0,7.0,9.0
passievrucht,11.0,8.0,9.0,8.0,6.0,5.0,8.0,5.0,11.0,7.0,12.0,8.0,8.0,6.0,11.0,8.0,8.0,11.0,8.0,7.0,7.0,8.0,20.0,5.0,8.0,5.0,4.0,11.0,6.0,13.0
peer,5.0,6.0,8.0,8.0,8.0,8.0,4.0,4.0,6.0,6.0,7.0,9.0,4.0,8.0,6.0,5.0,8.0,8.0,8.0,6.0,8.0,9.0,5.0,20.0,8.0,16.0,4.0,8.0,7.0,8.0
perzik,8.0,9.0,17.0,12.0,8.0,4.0,4.0,15.0,8.0,11.0,9.0,9.0,7.0,6.0,11.0,4.0,12.0,8.0,14.0,11.0,18.0,8.0,8.0,8.0,20.0,9.0,9.0,17.0,6.0,7.0
pompelmoes,5.0,4.0,9.0,9.0,7.0,4.0,4.0,6.0,16.0,16.0,6.0,6.0,9.0,6.0,5.0,4.0,15.0,6.0,11.0,14.0,7.0,7.0,5.0,16.0,9.0,20.0,6.0,4.0,18.0,7.0
pompoen,4.0,4.0,6.0,3.0,4.0,4.0,3.0,4.0,6.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,7.0,6.0,7.0,13.0,4.0,4.0,9.0,6.0,20.0,3.0,9.0,4.0
