exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,10.0,14.0,18.0,6.0,11.0,18.0,15.0,13.0,8.0,13.0,9.0,14.0,13.0,12.0,13.0,8.0,10.0,10.0,12.0
blindworm,10.0,20.0,11.0,8.0,9.0,11.0,4.0,8.0,8.0,11.0,9.0,13.0,14.0,13.0,12.0,13.0,5.0,7.0,12.0,11.0
boa,14.0,11.0,20.0,8.0,12.0,17.0,12.0,5.0,11.0,7.0,12.0,15.0,13.0,17.0,12.0,16.0,9.0,6.0,12.0,16.0
caiman,18.0,8.0,8.0,20.0,9.0,12.0,18.0,10.0,14.0,10.0,9.0,12.0,12.0,7.0,10.0,11.0,6.0,10.0,7.0,14.0
chameleon,6.0,9.0,12.0,9.0,20.0,6.0,13.0,9.0,6.0,15.0,14.0,15.0,12.0,12.0,12.0,10.0,13.0,12.0,6.0,8.0
cobra,11.0,11.0,17.0,12.0,6.0,20.0,10.0,13.0,13.0,8.0,16.0,6.0,8.0,14.0,7.0,17.0,7.0,4.0,12.0,15.0
crocodile,18.0,4.0,12.0,18.0,13.0,10.0,20.0,16.0,12.0,10.0,13.0,12.0,16.0,10.0,10.0,4.0,9.0,10.0,12.0,10.0
dinosaur,15.0,8.0,5.0,10.0,9.0,13.0,16.0,20.0,4.0,12.0,15.0,15.0,15.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0
frog,13.0,8.0,11.0,14.0,6.0,13.0,12.0,4.0,20.0,9.0,11.0,14.0,12.0,12.0,16.0,6.0,17.0,14.0,8.0,4.0
gecko,8.0,11.0,7.0,10.0,15.0,8.0,10.0,12.0,9.0,20.0,10.0,14.0,9.0,5.0,13.0,10.0,8.0,4.0,10.0,12.0
iguana,13.0,9.0,12.0,9.0,14.0,16.0,13.0,15.0,11.0,10.0,20.0,10.0,14.0,10.0,13.0,10.0,10.0,14.0,10.0,12.0
lizard,9.0,13.0,15.0,12.0,15.0,6.0,12.0,15.0,14.0,14.0,10.0,20.0,13.0,6.0,15.0,11.0,12.0,11.0,10.0,8.0
monitor lizard,14.0,14.0,13.0,12.0,12.0,8.0,16.0,15.0,12.0,9.0,14.0,13.0,20.0,16.0,7.0,8.0,9.0,5.0,8.0,5.0
python,13.0,13.0,17.0,7.0,12.0,14.0,10.0,10.0,12.0,5.0,10.0,6.0,16.0,20.0,12.0,16.0,11.0,10.0,8.0,15.0
salamander,12.0,12.0,12.0,10.0,12.0,7.0,10.0,10.0,16.0,13.0,13.0,15.0,7.0,12.0,20.0,12.0,11.0,12.0,14.0,8.0
snake,13.0,13.0,16.0,11.0,10.0,17.0,4.0,9.0,6.0,10.0,10.0,11.0,8.0,16.0,12.0,20.0,10.0,10.0,11.0,16.0
toad,8.0,5.0,9.0,6.0,13.0,7.0,9.0,9.0,17.0,8.0,10.0,12.0,9.0,11.0,11.0,10.0,20.0,10.0,9.0,13.0
tortoise,10.0,7.0,6.0,10.0,12.0,4.0,10.0,10.0,14.0,4.0,14.0,11.0,5.0,10.0,12.0,10.0,10.0,20.0,17.0,8.0
turtle,10.0,12.0,12.0,7.0,6.0,12.0,12.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,14.0,11.0,9.0,17.0,20.0,14.0
viper,12.0,11.0,16.0,14.0,8.0,15.0,10.0,11.0,4.0,12.0,12.0,8.0,5.0,15.0,8.0,16.0,13.0,8.0,14.0,20.0
