exemplar,determines your social status,earns you money,has strong influence upon the rest of your life,involves wearing a particular outfit,is a job,is advantageous for society / economy,is an activity,is different for men and women,is regulated by law,is something adults do,is something you do,is something you do every day,is somthing you do throughout your life,requires a certain education,requires specific knowledge,requires specific skills,source of stress / frustrations,takes up a lot of time,there are different kinds,you do not practise it at your home,you have to enjoy it in order to keep it up
accountant,4,4,3,0,4,2,2,0,2,4,4,1,1,4,4,2,3,2,1,3,3
actor,4,4,4,1,4,1,2,2,0,2,4,1,1,4,1,4,1,2,3,4,4
archaeologist,4,4,3,0,4,1,2,0,0,4,4,1,1,4,4,3,1,3,1,4,4
architect,4,4,3,0,4,1,2,0,1,4,4,1,1,4,4,4,1,4,4,2,3
baker,4,4,3,1,4,2,2,0,0,4,4,1,1,4,4,4,1,4,1,2,4
butcher,4,4,3,2,4,1,2,0,0,4,4,1,1,4,4,4,1,3,0,1,3
cook,4,4,4,4,4,1,2,0,0,4,4,1,1,4,4,4,2,4,3,3,4
dentist,4,4,3,0,4,1,2,0,1,4,4,1,1,4,4,4,1,4,2,1,4
doctor,4,4,4,3,4,1,2,0,1,4,4,1,1,4,4,4,2,4,4,2,4
educator,4,4,3,0,4,1,2,0,1,4,3,1,1,4,3,4,2,3,0,4,4
fireman,4,4,4,4,4,1,2,0,0,4,4,1,1,3,3,4,2,3,1,4,4
garbage collector,4,4,3,3,4,1,2,0,0,4,4,1,1,0,0,2,1,2,0,4,3
information scientist,4,4,3,0,4,1,2,0,0,4,4,1,1,4,4,3,1,2,1,3,3
judge,4,4,4,4,4,1,2,0,3,4,4,1,1,4,4,3,1,4,3,4,3
lawyer,4,4,3,3,4,2,2,0,3,4,4,1,1,4,4,3,2,4,4,3,4
manager,4,4,4,0,4,2,2,0,0,4,4,1,1,3,3,2,3,4,3,4,4
minister,4,4,4,0,4,1,2,1,2,4,4,2,1,3,4,3,3,4,4,4,4
pharmacist,4,4,3,1,4,1,2,0,2,4,4,1,1,4,4,2,1,2,0,1,3
physiotherapist,4,4,3,0,4,1,2,0,2,4,4,1,1,4,4,4,1,3,1,1,4
pilot,4,4,4,3,4,1,2,0,1,4,4,1,1,4,4,4,1,3,3,4,4
plumber,4,4,3,2,4,1,2,0,0,4,4,1,1,4,4,4,1,3,0,4,3
police officer,4,4,4,4,4,1,2,0,3,4,4,1,1,4,4,4,2,3,4,4,3
postman,4,4,3,4,4,1,2,0,0,4,4,1,1,2,2,2,1,2,0,4,3
psychologist,4,4,3,0,4,1,2,0,0,4,4,1,1,4,4,4,1,2,4,1,3
secretary,4,4,3,0,4,1,2,2,0,4,4,1,1,4,3,3,2,2,0,4,3
shop-assistant,4,4,3,0,4,1,2,0,0,4,4,1,1,0,0,2,1,2,2,4,3
stallholder,4,4,3,0,4,1,2,0,0,4,4,1,1,0,0,3,1,2,1,4,3
stewardess,4,4,3,3,4,1,2,1,0,4,4,1,1,3,2,3,1,2,0,4,3
teacher,4,4,3,0,4,1,2,0,0,4,4,1,1,4,4,4,3,2,4,4,3
veterinarian,4,4,3,1,4,1,2,0,1,4,4,1,1,4,4,4,1,4,2,1,3
