exemplar,bestaat al lang,bestaat in verschillende groottes,bestaat in verschillende soorten,bestaat in verschillende vormen,bevat kogels,dient om je te beschermen,gebruiksvoorwerp,gemaakt uit metaal,heeft een handvat,heeft een loop,is gevaarlijk,is gewelddadig,is hard,is onderhevig aan regels,is populair in Amerika,is verboden,is zwaar,is zwart,je kan er iemand mee doden,je kan er iemand mee verwonden,kan je mee schieten,komt vaak voor in films,moet je een wapenvergunning voor hebben,vernielt,vind je vaak in actiefilms,wordt alleen door mensen gebruikt,wordt gebruikt bij sport,wordt gebruikt door criminelen,wordt gebruikt door politie,wordt gebruikt door soldaten,wordt gebruikt om oorlog te voeren,wordt gebruikt om te jagen
bazooka,0,3,2,2,2,0,0,1,1,0,2,3,0,4,0,3,0,4,0,4,4,1,4,0,2,4,2,4,0,1,4,4
bijl,4,4,3,3,0,0,3,2,0,0,1,0,0,1,0,0,2,4,0,4,0,1,0,0,1,4,2,4,1,0,0,0
boksbeugel,2,3,3,3,0,0,0,1,0,0,0,1,0,2,0,0,0,4,0,4,0,0,1,1,1,4,3,3,1,0,0,0
boog,4,4,3,3,0,0,0,2,0,0,0,1,0,1,0,2,3,4,0,4,4,0,1,0,0,4,2,4,0,0,0,0
dolk,4,4,4,4,0,0,0,1,0,0,0,1,0,2,0,0,2,4,0,4,0,2,1,3,1,4,2,4,2,0,0,0
geweer,3,4,3,3,4,2,0,1,3,0,0,2,0,4,3,3,0,4,0,4,4,4,4,1,4,4,2,4,0,0,4,1
granaat,1,4,3,3,0,0,0,1,1,0,0,2,0,4,0,0,0,4,0,4,0,2,3,0,2,4,1,4,0,4,4,0
kanon,3,4,3,3,2,0,0,1,3,0,4,3,0,4,0,2,2,4,0,4,4,2,3,0,1,4,1,4,0,1,4,0
katapult,4,4,2,2,0,1,0,4,0,0,0,0,0,1,0,0,1,4,0,4,4,0,0,0,0,4,2,4,0,0,0,0
knuppel,4,4,3,2,0,0,0,1,0,0,2,0,0,1,0,3,2,4,0,4,0,0,0,0,0,4,2,4,2,0,0,1
mitrailleur,0,3,2,2,4,0,0,1,3,0,0,2,0,4,0,3,0,4,0,4,4,3,4,0,3,4,1,4,0,0,4,1
pistool,3,3,4,3,4,2,0,1,2,0,0,2,0,4,3,1,0,4,0,4,4,4,4,0,4,4,2,4,0,0,4,0
schild,4,3,3,4,0,0,0,2,0,0,1,0,4,1,0,0,3,4,0,3,0,1,0,1,0,4,4,2,0,0,0,0
speer,4,3,3,2,0,0,0,1,0,0,0,1,0,1,0,4,2,4,0,4,0,1,0,0,0,4,2,4,1,0,0,0
stok,4,4,3,3,0,0,1,3,0,1,1,0,0,0,0,2,2,4,2,4,0,1,0,0,0,3,2,4,2,0,0,0
tank,1,4,4,3,2,0,0,1,2,0,1,3,0,4,0,1,1,4,0,4,3,1,3,0,2,4,2,3,0,1,4,0
touw,4,3,4,2,0,3,4,2,0,4,0,0,0,0,0,3,2,4,1,4,0,0,0,0,0,3,2,2,2,0,0,0
tweeloop,1,3,3,2,4,1,0,1,2,0,0,2,0,4,0,4,0,4,0,4,4,3,4,1,3,4,2,4,0,0,3,0
zwaard,4,4,3,3,0,0,0,1,0,0,0,0,0,2,0,3,3,4,0,4,0,3,1,4,2,4,2,4,1,0,0,0
zweep,4,4,4,2,0,2,1,1,0,0,0,0,0,0,0,3,1,4,4,4,0,0,0,0,0,4,2,3,4,0,1,0
