feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
as a snack,3,-3,3,2,0,0,3,2,0,-3,3,-3,0.5833333333333334,2.466441431158124
can be bought at the supermarket,-3,1,-3,-1,0,0,1,2,0,-1,0,-2,-0.5,1.5666989036012806
colourful,3,1,0,-1,2,-1,2,2,0,0,2,-3,0.5833333333333334,1.7298624923456323
comes in different colours,3,2,1,0,2,0,1,1,1,1,2,-3,0.9166666666666666,1.5050420310248864
comes in different shapes,-1,0,-3,0,1,0,2,1,0,2,0,0,0.16666666666666666,1.337115846843043
contains seeds,1,3,2,2,3,1,2,0,2,-3,2,-3,1.0,2.04494943258218
contains vitamines,3,3,2,3,3,2,3,2,1,3,3,2,2.5,0.674199862463242
edible,3,3,3,2,3,1,3,2,-2,2,3,3,2.1666666666666665,1.4668044012461754
exists in different kinds,2,3,3,1,3,0,3,2,1,3,3,-3,1.75,1.815338686155987
fruit (in dutch: vrucht),2,3,2,2,3,2,3,-2,2,3,2,3,2.0833333333333335,1.378954368902449
grows in the countryside,1,2,0,1,0,1,3,2,-1,1,1,3,1.1666666666666667,1.1934162828797101
grows on a bush,1,1,0,1,2,1,1,1,1,-1,-1,3,0.8333333333333334,1.1146408580454255
grows on a plant,2,2,0,1,2,1,1,0,1,2,0,3,1.25,0.9653072991634227
grows on trees,2,1,1,2,2,1,1,1,1,1,1,1,1.25,0.45226701686664544
has a bright colour,-1,3,1,-2,-1,1,2,1,-1,-2,2,1,0.3333333333333333,1.6696942198734437
has a peel,2,3,2,3,3,0,3,1,3,2,2,-3,1.75,1.764549903980152
healthy,3,3,3,3,3,1,3,2,0,3,3,3,2.5,1.0
is cultivated (gekweekt),2,2,0,-1,3,1,2,1,-3,0,1,2,0.8333333333333334,1.6422453217986943
is expensive,1,-1,1,-1,-2,-1,3,0,0,-3,0,-3,-0.5,1.7320508075688772
is juicy,3,3,2,2,3,1,3,2,2,2,2,-3,1.8333333333333333,1.6422453217986943
is round,1,3,0,-1,1,-1,0,-1,1,-3,2,-3,-0.08333333333333333,1.8319554050414562
is seasonal,2,3,3,1,3,2,3,1,0,3,2,2,2.0833333333333335,0.9962049198956219
is soft,1,3,1,-2,1,-1,1,1,0,-3,1,-3,0.0,1.8586407545691703
needs a lot of sun to grow,1,1,2,2,3,0,2,1,1,1,2,-3,1.0833333333333333,1.5050420310248864
often used for deserts,1,1,2,3,1,-1,3,-1,0,1,2,1,1.0833333333333333,1.3113721705515065
ripens,3,3,2,3,3,3,3,2,1,2,2,1,2.3333333333333335,0.7784989441615231
rots after a while,2,3,3,2,3,1,3,2,-2,1,2,1,1.75,1.4222261679238197
smells nice,-1,3,3,-1,3,1,1,1,0,-3,1,-3,0.4166666666666667,2.108783937953269
sweet taste,2,3,0,2,3,2,3,1,1,-3,2,-3,1.0833333333333333,2.108783937953269
tastes fresh,2,3,3,2,3,1,2,2,0,1,3,-3,1.5833333333333333,1.729862492345632
tasty,3,3,2,2,3,1,3,2,-3,2,2,-3,1.4166666666666667,2.151461800448216
used for making fruitsalad,1,2,3,2,2,1,3,2,1,3,3,-3,1.6666666666666667,1.669694219873444
