exemplar,Popeye,Vlaamse kost,aantrekkelijk voor insecten,afgereden door landbouwmachines,afschrikmiddel voor vampieren,als gerecht met hesp en kaas,aperitiefhapje,bestaat in verschillende groottes,bestaat in verschillende kleuren,bestaat in verschillende soorten,bestaat uit draadjes,bevat veel ijzer,bevat veel water,bevat vitaminen,bevat zetmeel,bij de groentenboer kopen,bobbeltjes erop,bruine kleur,buisvormig,chips,de wortel is een onderdeel van een plant,doe je in het eten,donkergroene kleur,doordringende geur,een weinig bekende groente,eet het gehakt,eet je met tomatensaus,eetbaar,er zitten vaak slakken op,eten met witte saus,eten met worteltjes,eten voor konijnen,familie van de courgette,familie van komkommer,familie van kool,ge kunt ermee smijten,gebruikt men voor soep,gebruikt tijdens maaltijden,gebruikt voor broodjes,geeft smaak aan gerechten,gegeten met aardappelen,gemalen tot witte bloem - maïzena,geribbelde structuur,geurloos,glanzend,goed voor het bloed,groeien in bossen,groeit,groeit aan bomen,groeit aan een kolf,groeit aan een plant,groeit aan stengels,groeit aan struik,groeit in België,groeit in de grond,groeit in de moestuin,groeit in de tuin,groeit in de winter,groeit in een serre,groeit in gematigde streken,groeit in het donker,groeit in kroppen,groeit in mest,groeit in trossen,groeit in warme streken,groeit laag bij de grond,groeit onder de grond,groeit op het veld,groeit op vochtige plekken,groeit snel,groen vanbinnen,groene kleur,grote bladeren,heeft bladeren,heeft bloemen,heeft een aparte smaak,heeft een bruine schil,heeft een groene stengel,heeft een kern,heeft een kroontje,heeft een schil,heeft een staartje,heeft een stengel,heeft groen loof,heeft groene bladeren,heeft kleine blaadjes,heeft loof,heeft nerven,heeft ogen,heeft pitten,heeft punt,heeft sporen,heeft verschillende lagen,heeft water nodig,heeft wortels,heeft zonlicht nodig om te groeien,het is fris,het is wit of groen,het smaakt bitter,hoort bij tomaten,in azijn bewaard,in de zomer,in het zuur,in kleine stukjes snijden,in schijfjes,in sla,in spaghetti,"is ""boerenkost""",is Europees,is dik,is dun,is een bladgroente,is een groente,is een hoopje bladeren,is een inheemse groente,is een kruid,is een plant,is een vrucht,is een wintergroente,is geel,is gezond,is glad,is goed voor de ogen,is goedkoop,is hard,is klein,is lang,is lang en smal,is langwerpig,is lekker met cocktailsaus,is niet lekker,is oranje,is ovaal,is paars,is peulvrucht,is pikant,is rond,is rood,"is rood, groen of geel",is sappig,is smal,is soort schimmel,is typisch Belgisch,is voedsel,is voedzaam,is vrij groot,is wit,is wit of rood van kleur,is wit vanbinnen,je kan het koken of rauw opeten,je kan het zelf kweken,kan geraspt worden,kan in diepvries bewaard worden,kan je 'afpellen',kan je heel 't jaar eten,kan je koken,kan je kopen in de winkel,kan je kopen op de markt,kan je puree van maken,kan je rauw eten,kan men bakken,kan men koud eten,kan op verschillende wijzen bereid worden,kan verschillende vormen aannemen,kan warm gegeten worden,kan warm of koud gegeten worden,kindjes knutselen ermee,kindjes kwamen vroeger uit een bloemkool,kippenvoer,klaargemaakt met room,klaarmaken met saus,kleine bolletjes,kleine kool,kleine stukjes,knapperig,knol,komt oorspronkelijk van Amerika,komt uit bokalen,komt uit de grond,krimpen bij het koken,krom,kunnen geplant worden,landbouw,lang houdbaar,leidt tot slechte adem,lekker,lekker koud,lekker met mayonaise,lekker met vlees,lente,ligt zwaar op de maag,lijkt op ajuin,lijkt op asperges,lijkt op een komkommer,lookboter,maak je klaar met appeltjes,maakt men suiker van,mals om te eten,met aarde,met een broodje americain,met groene kop,moet geschild worden,niet geliefd bij kinderen,noemt ook eierplant,om te eten,past bij worst,peervormig,persen in lookpers,pikt in de ogen,plant,popcorn van maken,potentieverhogend,rare vorm,ruikt lekker,ruikt niet lekker,ruikt speciaal,ruikt sterk,ruikt zoet,ruw oppervlak,scherpe smaak,smaakt flauw,smaakt fris,smaakt lekker bij kaas,smaakt lekker met zout,smaakt straf,smaakt zacht,smaakt zoet,smaakt zuur,stam,struik,suiker toevoegen,te koop,uitdrukking,vaak in blik verkocht,vaak op pizza's,vaak samen met kaassaus,vanbuiten donker roze,veel gebruikt ingrediënt,veel kleurstof,veel kuiswerk,veel mensen lusten dit niet,veevoeder,vers,verschillende teentjes,vezelig,vies,voor paard Sinterklaas,voortplantingsfunctie,vormt de basis voor heel wat sauzen,vruchtvlees,weegt zwaar,weinig calorieën,werd vooral vroeger gegeten,word je sterk van,word je winderig van,worden vaak verkocht in bakjes,wordt als garnituur gebruikt,wordt gebruikt in de keuken,wordt gebruikt in salade,wordt gedroogd,wordt gegeten,wordt gegeten bij barbecue,wordt gegeten door dieren,wordt gegeten in een koude schotel,wordt gekookt,wordt gekweekt,wordt geoogst,wordt gestoofd,wordt geteeld,wordt geteeld door boeren,wordt gezaaid,wordt in bussels verkocht,wordt in veel gerechten gebruikt,wordt met frieten gegeten,wordt op hamburgers gedaan,wordt op water gekweekt,wordt samen met erwtjes gegeten,wordt snel slecht,wordt vaak bereid met hesp,wordt vaak met Brussel geassocieerd,wordt verkocht op de veiling,wordt vooral in de winter gegeten,zacht,zijn duur,zijn korreltjes op een kolf,zijn paddestoelen,zijn soms giftig,zit in potten,zitten in een peul,zitten zaadjes in,zuiders
aardappel,0,4,1,2,0,0,0,4,2,4,0,0,0,4,4,4,0,3,0,4,4,2,0,0,0,0,0,4,0,1,1,1,0,0,0,4,4,4,0,0,2,2,0,3,0,0,0,4,0,0,1,1,0,4,4,4,3,1,1,4,2,0,1,0,1,2,3,4,1,3,0,0,1,1,1,0,4,1,0,0,4,0,1,1,1,0,2,0,4,0,0,0,1,4,2,2,0,0,0,1,0,4,0,2,2,2,0,4,2,3,0,0,4,0,3,0,3,1,1,2,4,1,0,4,3,4,0,0,1,3,0,0,4,0,0,0,4,1,0,0,0,0,4,4,4,0,3,0,2,2,4,2,4,1,4,4,4,4,4,1,4,4,4,4,4,4,3,0,1,1,2,0,0,2,1,2,4,1,4,1,0,4,4,4,0,4,3,3,4,1,2,0,0,0,1,1,0,1,4,0,0,4,0,0,4,4,1,0,0,4,0,0,1,1,0,0,0,1,2,0,2,0,1,3,0,3,1,0,0,0,0,4,0,1,0,1,0,4,0,1,0,2,4,0,1,0,1,1,0,1,1,1,2,0,0,0,0,4,3,0,4,4,4,3,4,3,4,0,4,4,3,0,4,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,1
ajuin,0,2,0,1,1,0,0,3,3,4,0,1,2,4,0,4,0,2,0,0,3,4,0,4,0,3,1,4,0,0,1,0,0,0,0,4,4,4,4,4,3,0,0,0,1,3,0,4,0,0,1,1,1,4,4,3,3,1,1,4,2,0,0,0,1,2,2,3,0,3,0,0,0,0,0,1,2,1,3,0,4,1,1,1,0,0,3,0,0,0,1,0,4,4,4,3,3,0,0,3,1,4,1,4,2,4,4,1,4,3,0,0,4,1,4,0,3,1,0,0,4,1,1,4,4,4,0,0,0,1,0,0,0,0,0,2,4,1,0,1,0,0,0,4,4,0,4,3,3,4,4,1,4,4,4,2,4,4,1,4,4,4,4,2,4,4,0,0,1,0,3,0,0,3,3,2,0,1,3,1,0,3,2,4,3,4,3,1,4,1,1,2,0,0,1,0,0,1,2,4,1,3,2,0,4,3,0,0,4,3,0,0,0,2,0,3,4,0,1,4,0,3,1,0,3,1,0,0,0,0,0,4,3,0,4,0,0,4,0,0,1,1,4,0,0,0,0,1,3,1,1,4,1,1,4,0,3,4,4,3,4,4,2,3,2,3,4,4,3,3,2,0,4,1,4,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,1
asperges,0,3,0,0,0,0,0,1,3,3,2,0,0,4,0,4,0,0,4,1,1,2,1,1,0,0,0,4,0,2,0,0,0,0,0,3,4,4,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,4,4,2,3,0,1,4,2,0,0,0,1,2,3,4,0,0,2,1,0,0,0,3,0,0,0,0,4,0,1,0,1,0,0,0,0,0,4,0,1,4,3,3,1,3,0,0,0,4,0,0,0,1,1,0,4,0,4,0,4,0,4,0,4,0,1,0,4,1,0,0,2,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,3,0,4,0,4,1,2,1,3,1,2,3,4,4,1,0,2,3,4,1,4,2,0,0,0,3,3,0,0,0,1,0,0,3,3,0,0,3,1,0,0,4,1,0,3,2,0,0,2,0,0,0,0,3,1,0,2,3,3,0,4,1,0,0,0,2,0,1,0,1,0,1,1,0,1,2,0,1,1,0,0,3,0,0,0,0,0,4,0,2,1,1,0,0,0,2,1,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,4,2,0,4,0,2,3,3,4,2,1,2,2,2,4,1,0,0,0,0,3,2,0,4,0,1,4,0,0,0,3,0,0,0
aubergine,0,0,0,0,0,0,0,1,1,1,0,0,2,4,0,4,0,0,1,1,2,2,0,0,2,0,1,4,0,1,0,0,3,1,0,3,0,4,0,0,2,0,0,3,4,0,0,4,0,0,3,3,1,2,3,1,2,0,3,2,0,0,0,0,4,3,0,2,0,1,0,0,1,1,1,2,0,1,1,2,4,2,2,1,2,0,1,0,0,3,0,0,0,4,1,4,0,0,1,1,0,4,0,3,2,0,1,0,3,3,0,0,4,0,0,0,4,2,0,0,4,4,0,0,1,0,4,0,4,0,0,0,4,4,0,0,0,1,0,1,0,0,0,4,3,4,1,0,3,1,2,1,3,1,3,3,4,4,0,0,4,1,4,1,4,1,0,0,0,0,2,0,0,1,0,0,0,0,1,2,3,3,1,0,0,4,2,0,4,1,0,0,0,2,0,0,0,3,0,0,2,2,2,4,4,1,3,0,0,3,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,3,0,0,0,2,0,4,0,0,1,0,0,1,1,0,1,0,4,0,0,0,0,0,0,2,1,3,0,0,0,0,0,4,0,0,4,0,2,0,3,4,2,1,1,1,3,0,1,0,0,0,0,2,0,0,4,0,3,3,0,0,0,0,0,3,4
augurken,0,0,0,0,0,0,2,1,0,0,0,0,1,4,0,3,3,0,2,0,2,3,3,1,2,0,0,4,0,0,0,0,2,3,0,3,0,4,3,1,1,0,2,3,0,0,0,4,0,0,3,2,1,3,2,1,0,0,2,4,0,0,0,0,4,2,0,2,0,1,3,4,0,1,1,3,0,1,1,1,1,1,0,1,1,0,1,0,0,2,1,0,0,4,1,4,3,0,0,0,4,4,4,2,2,2,0,0,4,0,2,0,4,0,2,0,4,2,0,0,3,0,0,2,2,2,2,0,4,0,1,0,4,0,0,0,0,0,0,1,2,0,0,4,3,1,0,0,0,1,2,1,2,0,4,2,4,4,0,2,0,4,1,0,2,2,0,0,0,0,1,0,0,2,1,0,0,4,1,0,2,3,1,4,0,3,1,0,3,1,0,0,0,2,0,0,0,2,0,3,3,1,3,0,4,1,0,0,0,3,0,0,1,1,0,1,1,0,3,2,1,3,1,0,1,0,0,4,0,2,0,4,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,3,4,2,0,4,2,2,3,1,4,2,0,2,1,3,0,0,1,3,0,0,0,0,0,4,0,2,1,0,0,0,4,0,2,2
biet,0,2,0,3,0,0,0,2,3,2,0,0,0,4,1,4,1,0,0,1,4,2,0,1,1,0,0,4,0,0,0,1,0,0,1,4,0,4,0,0,2,0,0,2,0,0,0,4,0,0,1,1,0,4,4,0,3,0,1,4,2,0,0,0,1,1,3,4,0,2,0,0,0,0,0,2,1,1,1,0,3,0,1,2,0,1,2,0,1,0,0,0,1,4,4,3,0,0,0,0,1,3,0,2,0,1,0,4,4,2,0,0,4,0,4,0,3,1,1,0,4,0,0,3,4,2,0,0,1,0,3,0,1,0,0,0,3,4,0,0,0,0,2,4,4,1,1,3,2,2,4,2,3,0,3,4,4,4,0,2,2,3,4,1,4,2,1,0,0,0,2,0,0,1,1,2,0,1,4,0,0,4,4,3,0,1,1,0,3,0,2,0,0,0,0,0,4,1,3,0,1,4,2,0,4,1,0,0,0,2,0,0,0,1,0,1,1,0,2,1,1,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,1,0,3,1,4,4,4,0,0,2,1,1,0,1,3,2,4,1,0,0,1,4,1,0,4,0,4,2,4,3,4,1,3,4,2,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,2,0,0,0
bloemkool,0,3,2,0,0,0,4,2,1,1,0,0,0,4,1,4,0,0,0,0,3,2,0,1,0,0,0,4,1,4,0,0,0,0,4,4,4,4,0,0,4,0,1,1,0,0,0,4,0,0,0,0,0,4,3,4,3,1,0,4,0,3,0,0,1,4,0,4,0,2,1,0,3,4,1,3,0,1,1,0,0,0,0,3,4,2,2,2,0,0,0,0,0,4,4,4,1,2,0,0,0,4,0,1,0,1,0,4,4,4,0,0,4,0,4,0,3,0,1,0,4,0,0,1,4,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,1,4,3,4,4,0,4,4,4,0,4,0,4,4,4,4,0,3,1,4,4,1,4,4,0,4,0,2,4,0,0,0,3,2,0,0,1,0,0,3,1,1,0,3,4,1,4,0,2,0,0,0,0,0,0,1,1,0,2,1,1,0,4,4,0,0,0,2,0,0,0,2,1,2,1,0,4,0,0,2,2,1,1,3,0,0,2,0,0,4,2,0,0,3,0,1,0,3,1,0,4,0,0,1,0,1,0,0,4,2,1,1,0,0,1,4,1,0,4,3,2,4,4,3,3,1,2,3,2,0,1,0,0,0,0,1,0,0,4,3,0,2,0,0,0,0,0,0,0
bonen,0,3,1,0,0,0,0,3,4,4,1,0,0,4,2,4,0,2,2,0,2,2,3,1,0,0,3,4,0,2,0,0,0,0,0,3,4,4,0,0,4,0,0,1,0,0,0,4,0,0,4,3,3,4,2,4,3,1,1,4,0,0,0,2,1,1,0,3,1,3,3,3,0,1,2,2,0,1,0,0,1,3,3,1,2,0,1,1,0,0,4,0,0,4,2,4,0,2,0,1,0,4,0,0,0,2,1,3,3,0,4,0,4,0,4,0,4,2,1,1,4,1,0,2,2,3,3,3,4,0,1,0,2,1,3,0,0,1,1,0,4,0,1,4,4,0,3,1,2,2,4,1,4,0,4,3,4,4,1,1,1,4,4,4,4,3,1,0,0,1,3,1,0,1,1,0,1,3,1,1,2,3,1,2,0,3,1,1,4,0,2,0,0,0,0,0,0,3,0,0,3,0,2,0,4,3,0,0,0,2,0,0,0,1,1,2,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,4,1,4,0,0,0,1,0,3,2,0,4,0,3,1,0,1,0,0,0,2,1,1,4,0,1,4,2,0,4,2,2,2,3,3,3,3,2,2,4,0,1,0,0,0,0,0,0,0,4,1,2,1,0,0,0,4,2,2,0
champignons,0,1,0,0,0,0,1,4,2,4,1,0,3,4,0,3,0,1,0,0,1,2,0,0,0,3,2,4,0,2,0,0,0,0,0,3,4,4,0,0,3,0,0,2,0,0,2,3,0,0,0,0,0,4,2,0,1,2,1,4,3,0,3,0,1,4,2,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,3,1,1,0,0,0,1,0,4,0,3,3,2,4,0,4,0,0,0,4,0,3,0,2,0,0,0,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,4,4,0,4,0,3,3,2,0,4,0,4,4,4,4,0,3,4,2,4,4,4,3,0,0,0,4,4,1,0,3,0,0,0,3,2,4,0,2,1,0,0,4,1,0,4,1,0,0,0,0,1,0,0,3,3,0,0,0,2,0,4,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,1,1,0,3,0,0,2,0,0,4,0,4,4,1,0,3,0,1,3,0,4,0,0,0,0,1,0,0,0,3,0,0,0,4,0,4,3,1,4,4,2,0,3,4,2,4,1,1,2,0,4,1,0,0,1,3,0,0,4,0,3,3,0,4,4,4,0,0,2
courgette,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,4,0,0,2,1,3,2,4,0,0,0,2,4,0,0,0,0,2,4,0,4,3,4,0,0,2,0,1,3,2,0,0,4,0,0,2,2,1,4,3,2,3,1,4,4,0,0,0,0,3,3,0,2,1,3,2,4,1,1,1,1,0,1,1,2,4,2,2,1,2,0,1,0,0,3,0,0,0,4,2,4,1,0,0,1,0,4,0,3,2,0,3,0,4,3,0,0,4,0,2,0,4,2,0,0,4,2,0,1,1,0,4,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,3,3,2,0,3,2,3,1,4,1,4,4,4,4,0,0,3,1,4,0,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,2,3,3,1,0,0,4,1,0,4,1,0,0,0,4,0,0,0,3,0,0,3,1,2,0,4,1,1,0,0,3,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,3,1,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,2,3,0,0,0,0,0,4,0,0,4,0,2,0,4,4,2,3,1,2,3,0,2,0,0,0,0,1,0,0,4,0,3,2,0,0,0,0,0,4,3
