exemplar,belongs to nature,both male and female take part in the brooding,breastfeeds its babies,breathes,breathes through gills,breathes through lungs,breathes through scales,breaths under water,builds nests,buzzes,can be dangerous,can be poisonous,can become ill,can bite,can fly,can have different colors,can loose its tail,can swim,can walk,can't fly,carries over diseases,chirps (tsjilpt),comes in different shapes,comes in different sizes,comes up to light,compound eyes,contains omega 3,contains proteins,crawls,dark colour,descend from the dinosaur,descends from reptiles,dies,does not lay eggs,does not smell well,does not taste well,doesn't have a central nervous system,doesn't have wings,doesn't live long,doesn't live on land,doesn't resemble a human being,eats,eats berries,eats everything,eats food for fish,eats grain,eats insects,eats plants,eats seed,eats small animals,eats worms,endangered species,exists for ages,flies or crawls,flutters,goes through a metamorphosis,has a beak,has a bill,has a central nervous system,has a fur (vacht),has a leathery skin,has a long tail,has a long tongue,has a mouth,has a rough skin,has a tail,has a vertically oriented tail,has air sacs,has an aerodynamic body,has an exoskeleton,has arms,has beady eyes,has bones,has brains,has eight paws,has eyes,has feathers,has feelers,has fins,has four paws,has gills,has legs (poten),has lungs,has nipples,has no eyelids,has no hairs,has no paws,has scales,has sharp claws (nagels),has short paws,has six paws,has skin,has teeth,has two eyes,has two paws,has two wings,has wings,herds,hibernates,hops,in the morning,invertebrate,is a bird,is a carnivore,is a cat,is a collective noun,is a constellation,is a cow,is a delicacy,is a dolphin,is a freshwater fish,is a human,is a hunter,is a living being,is a migratory bird,is a mosquito,is a shark,is a sport,is a sweet- or salt-water fish,is a symbol for freedom,is a turtle,is a type of whale,is a vertebrate,is able to reproduce,is affectionate,is an animal,is an ant,is an elephant,is an exotic animal,is athrodopal,is beautiful,is brown,is brown/black,is caught using a fishing rod,is caught using bait,is caught using nets,is cold-blooded,is colourful,is creepy,is dangerous,is determined,is eaten by an insectivore,is eaten by birds,is eaten by other animals,is eaten by plants,is eaten by spiders,is eaten with white wine,is exterminated,is fascinating,is fast,is found all around the world,is found in fish stew,is found in the garden,is found in trees,is good for the eyes,is green,is hairy,is healthy,is irritating,is killed by man,is more often encountered during summer,is nasty,is nice,is not a mammal,is not dangerous,is not very popular among man,is not yet independent at birth,is parasite,is quiet,is silvery,is slippery,is small (klein),is smaller than a meter,is smooth,is soft,is something you can purchase,is sometimes eaten by man,is sometimes kept as a pet,is tasty,is terrifying,is ugly,is useful,is vermin,is warm-blooded,its babies are born alive,its excrements are found on the street,its vascular system is less developed than that of mammals,kind of crocodile,kind of frog,kind of snake,lays eggs,lives in Africa,lives in a cage,lives in a swamp,lives in colonies,lives in the desert,lives in the sea,lives in the wild,lives in the zoo,lives in warm countries,lives in water,lives nearby the water,lives on land,lives on land and sea,loyal,makes a lot of noise,makes a sound,makes an extremely irritating sound,mammal,marks its territory,often becoms a cat's prey,often bites,performs pollination,rises early,shines,sings,sings (whistles),sometimes smells,stings,swims in aquariums,swims in schools,there are lots of these,there are many kinds of it,thick skin,uses the sun to keep body temperature stable
alligator,4,0,0,4,0,4,0,0,1,0,4,0,4,4,0,0,0,4,4,4,0,0,0,3,0,0,0,4,3,3,2,2,4,0,0,3,0,4,0,0,4,4,0,0,0,0,2,1,0,4,1,3,1,0,0,0,2,0,4,0,3,3,0,2,4,4,0,0,2,0,0,0,0,4,0,4,0,0,0,4,1,4,4,0,2,4,0,3,2,4,0,1,4,4,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,2,0,1,2,0,0,0,0,3,0,4,4,2,0,0,2,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,2,0,4,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,4,1,4,0,0,0,0,3,3,0,0,4,3,1,2,1,0,0,3,4,4,4,4,3,4,0,1,1,0,0,2,0,4,0,0,1,0,0,3,0,0,0,4,1,3,4
anchovy,4,0,0,4,4,0,0,4,0,0,0,0,4,1,0,0,0,4,0,4,0,0,0,2,0,0,3,4,0,2,0,0,4,0,1,2,0,4,0,4,4,4,0,0,1,0,1,0,0,2,1,0,1,0,0,0,1,0,4,0,0,0,0,2,0,2,3,1,3,0,0,0,4,4,0,4,0,0,4,0,4,0,0,0,3,4,3,3,0,1,0,1,2,4,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,3,4,0,4,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,2,4,0,0,3,0,1,2,0,2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,2,2,4,4,4,4,0,3,3,0,3,0,2,3,0,0,0,0,3,0,0,0,3,1,0,0,2,0,4,3,0,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,4,1,0,2
ant,4,0,0,4,0,0,0,0,3,0,0,0,3,4,1,1,0,0,4,3,0,0,1,4,0,2,0,3,4,3,0,0,4,0,0,3,3,2,1,0,4,4,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,3,0,4,0,3,0,0,0,4,0,0,4,4,0,0,0,3,3,0,2,3,0,0,1,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,2,0,2,0,0,0,0,0,0,1,0,1,2,3,3,3,2,0,3,2,0,3,0,4,3,0,0,0,0,2,2,4,1,0,4,3,3,0,0,0,0,0,4,4,0,0,1,0,1,0,0,2,4,3,0,0,0,4,0,0,0,4,3,0,0,3,0,0,3,0,2,0,0,4,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,4,4,0,3
bat,4,0,3,4,0,4,0,0,1,0,0,0,4,4,4,0,0,0,1,0,1,0,1,4,1,0,0,4,0,4,0,1,4,3,1,3,0,0,0,0,4,4,1,0,0,0,4,1,1,3,0,1,1,4,0,0,2,0,4,2,1,0,0,3,0,3,0,0,1,0,0,0,0,4,0,4,0,0,0,1,0,4,4,3,0,0,0,0,1,3,0,4,4,4,0,2,3,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,2,2,0,0,0,4,0,0,2,0,1,0,3,4,0,1,3,3,4,0,1,0,0,4,4,0,2,0,0,0,0,3,3,4,0,3,3,0,0,0,0,0,1,1,0,0,2,0,0,3,3,2,0,0,3,0,0,1,2,0,4,0,0,1,0,0,0,0,0,3,0,0,0,3,1,1,0
beaver,4,0,4,4,0,4,0,0,1,0,1,0,4,4,0,1,0,3,4,4,0,0,0,3,0,0,0,4,1,2,0,1,4,4,1,3,0,4,0,0,4,4,0,0,0,0,0,3,0,1,0,1,1,0,0,0,1,0,4,4,1,0,0,3,0,4,0,0,3,0,0,0,0,4,0,4,0,0,0,4,0,4,4,4,0,0,0,0,1,4,0,4,4,4,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,3,0,4,0,2,0,0,2,4,0,4,0,1,0,0,0,0,4,0,4,4,0,0,0,0,0,0,1,0,1,3,0,0,2,3,2,2,4,3,3,0,3,2,0,4,3,0,1,0,0,1,0,0,2,0,0,0,3,1,2,0
bee,4,0,0,4,0,0,0,0,2,4,2,0,3,1,4,0,0,0,2,0,0,0,1,2,0,3,0,3,1,0,0,0,4,0,0,3,3,0,2,0,4,4,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,4,0,0,0,3,0,4,0,4,0,0,0,4,0,0,4,3,0,0,0,3,4,0,1,2,0,1,4,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,0,3,1,2,1,2,2,2,1,3,0,2,2,2,0,0,4,3,0,0,3,0,3,3,3,2,0,4,2,3,0,0,0,0,0,4,4,0,1,3,0,1,0,3,0,4,0,0,0,0,4,0,0,0,4,2,0,0,4,0,0,3,0,2,0,0,4,0,0,3,4,2,0,1,0,1,3,0,0,0,0,1,2,0,0,4,1,0,3
beetle,3,0,0,4,0,0,0,0,1,0,0,0,3,1,2,1,0,0,4,2,0,0,2,4,1,2,0,4,3,4,0,0,4,0,0,3,3,1,1,0,4,4,0,0,0,0,1,3,0,1,0,0,1,3,0,2,0,0,1,0,0,0,0,2,0,0,0,0,2,4,0,0,0,3,1,4,0,4,0,0,0,4,0,0,4,4,0,0,0,3,4,0,2,3,0,1,2,3,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,1,1,1,0,0,1,0,1,1,0,0,2,3,3,2,2,0,3,1,1,2,0,4,4,0,0,0,0,2,2,3,1,0,4,4,1,0,0,1,0,0,4,4,0,0,0,1,0,0,0,1,4,4,0,0,0,4,0,0,0,4,3,0,1,0,0,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,4,3,0,3
bison,4,0,4,4,0,4,0,0,0,0,2,0,4,4,0,0,0,0,4,4,0,0,0,3,0,0,0,4,0,4,0,1,4,4,1,2,0,4,0,0,4,4,0,0,0,0,0,4,0,0,0,3,1,0,0,0,1,0,4,4,1,0,0,3,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,4,4,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1,0,1,3,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,2,2,3,0,1,0,0,0,0,0,3,1,2,1,0,2,2,3,0,4,4,0,0,0,0,0,0,2,0,0,3,0,0,3,4,3,0,0,4,0,0,3,3,0,4,1,0,0,0,0,0,0,0,4,0,0,0,3,1,4,0
blackbird,4,1,0,4,0,4,0,0,4,0,0,0,4,0,4,0,0,0,2,0,1,1,0,2,0,0,0,4,0,4,0,3,4,0,1,3,0,0,0,1,4,4,4,0,0,1,4,2,3,2,4,0,1,4,1,0,4,4,4,0,1,0,0,2,0,2,0,3,3,0,0,1,0,4,0,4,4,0,0,0,0,4,4,0,1,4,0,0,1,3,0,4,0,4,4,4,4,2,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,4,3,0,0,0,0,1,0,2,0,1,4,4,0,4,0,1,0,0,4,4,0,2,0,0,0,0,0,0,4,0,4,0,2,1,0,0,0,4,1,0,0,0,0,0,3,0,2,0,0,3,0,0,3,4,0,0,1,1,0,1,0,0,4,3,2,0,0,0,3,1,0,0
blindworm,4,0,0,4,0,2,0,0,1,0,1,0,4,1,0,0,0,1,1,4,0,0,0,2,0,0,0,4,2,1,0,2,4,0,0,3,0,4,0,0,4,4,0,0,0,0,4,3,0,4,1,0,1,3,0,0,0,0,4,0,2,1,1,2,0,2,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,2,0,2,4,4,2,0,1,0,2,3,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,4,0,4,0,0,1,1,0,4,1,0,0,0,3,0,1,0,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,4,0,0,1,0,3,4,4,4,0,1,0,1,0,4,2,3,0,0,0,0,3,0,0,1,4,2,0,0,0,0,0,3,2,3,0,1,4,0,0,1,2,0,0,1,0,1,0,0,2,0,0,2,0,0,0,3,2,0,3
