exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,6.0,6.0,7.0,8.0,7.0,4.0,6.0,4.0,4.0,9.0,7.0,6.0,4.0,6.0,3.0,7.0,7.0,5.0,7.0,5.0,5.0,5.0,4.0,6.0,4.0,5.0
banjo,6.0,20.0,6.0,11.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,15.0,11.0,4.0,6.0,8.0,5.0,8.0,8.0,4.0,4.0,10.0,6.0,5.0,4.0,3.0,6.0
basgitaar,6.0,6.0,20.0,2.0,8.0,8.0,6.0,11.0,6.0,4.0,5.0,18.0,3.0,7.0,9.0,8.0,7.0,3.0,5.0,6.0,5.0,6.0,5.0,8.0,5.0,5.0,7.0
cello,7.0,11.0,2.0,20.0,6.0,15.0,9.0,6.0,6.0,2.0,7.0,11.0,12.0,7.0,8.0,5.0,5.0,9.0,4.0,4.0,5.0,8.0,9.0,2.0,8.0,5.0,16.0
cimbalen,8.0,5.0,8.0,6.0,20.0,6.0,5.0,15.0,6.0,3.0,5.0,7.0,4.0,4.0,17.0,3.0,6.0,6.0,5.0,5.0,6.0,16.0,11.0,7.0,11.0,6.0,4.0
contrabas,7.0,6.0,8.0,15.0,6.0,20.0,9.0,4.0,6.0,5.0,5.0,5.0,5.0,7.0,6.0,2.0,3.0,6.0,4.0,6.0,5.0,8.0,7.0,6.0,8.0,6.0,8.0
doedelzak,4.0,6.0,6.0,9.0,5.0,9.0,20.0,7.0,6.0,11.0,6.0,5.0,6.0,5.0,5.0,4.0,7.0,6.0,7.0,11.0,6.0,8.0,4.0,4.0,5.0,9.0,5.0
drumstel,6.0,5.0,11.0,6.0,15.0,4.0,7.0,20.0,4.0,5.0,5.0,5.0,5.0,5.0,8.0,4.0,5.0,6.0,8.0,5.0,11.0,12.0,16.0,6.0,18.0,4.0,3.0
dwarsfluit,4.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,20.0,10.0,15.0,7.0,4.0,14.0,10.0,14.0,3.0,7.0,9.0,12.0,4.0,6.0,6.0,14.0,8.0,7.0,6.0
fagot,4.0,4.0,4.0,2.0,3.0,5.0,11.0,5.0,10.0,20.0,12.0,7.0,5.0,17.0,6.0,12.0,6.0,14.0,5.0,12.0,5.0,6.0,7.0,8.0,5.0,13.0,5.0
fluit,9.0,5.0,5.0,7.0,5.0,5.0,6.0,5.0,15.0,12.0,20.0,5.0,8.0,10.0,6.0,11.0,8.0,18.0,9.0,12.0,7.0,6.0,4.0,6.0,5.0,14.0,4.0
gitaar,7.0,15.0,18.0,11.0,7.0,5.0,5.0,5.0,7.0,7.0,5.0,20.0,11.0,6.0,14.0,5.0,5.0,5.0,2.0,7.0,7.0,10.0,8.0,5.0,5.0,7.0,9.0
harp,6.0,11.0,3.0,12.0,4.0,5.0,6.0,5.0,4.0,5.0,8.0,11.0,20.0,3.0,17.0,6.0,9.0,5.0,13.0,6.0,9.0,7.0,9.0,4.0,8.0,6.0,9.0
klarinet,4.0,4.0,7.0,7.0,4.0,7.0,5.0,5.0,14.0,17.0,10.0,6.0,3.0,20.0,2.0,11.0,5.0,13.0,6.0,15.0,6.0,6.0,6.0,12.0,5.0,12.0,8.0
klavecimbel,6.0,6.0,9.0,8.0,17.0,6.0,5.0,8.0,10.0,6.0,6.0,14.0,17.0,2.0,20.0,5.0,6.0,8.0,18.0,4.0,14.0,8.0,11.0,9.0,5.0,6.0,8.0
mondharmonica,3.0,8.0,8.0,5.0,3.0,2.0,4.0,4.0,14.0,12.0,11.0,5.0,6.0,11.0,5.0,20.0,6.0,10.0,5.0,2.0,8.0,8.0,6.0,5.0,5.0,10.0,7.0
orgel,7.0,5.0,7.0,5.0,6.0,3.0,7.0,5.0,3.0,6.0,8.0,5.0,9.0,5.0,6.0,6.0,20.0,6.0,16.0,6.0,18.0,5.0,4.0,4.0,5.0,8.0,4.0
panfluit,7.0,8.0,3.0,9.0,6.0,6.0,6.0,6.0,7.0,14.0,18.0,5.0,5.0,13.0,8.0,10.0,6.0,20.0,4.0,13.0,5.0,6.0,5.0,5.0,5.0,12.0,5.0
piano,5.0,8.0,5.0,4.0,5.0,4.0,7.0,8.0,9.0,5.0,9.0,2.0,13.0,6.0,18.0,5.0,16.0,4.0,20.0,8.0,20.0,8.0,5.0,2.0,8.0,7.0,8.0
saxofoon,7.0,4.0,6.0,4.0,5.0,6.0,11.0,5.0,12.0,12.0,12.0,7.0,6.0,15.0,4.0,2.0,6.0,13.0,8.0,20.0,8.0,7.0,7.0,11.0,6.0,15.0,8.0
synthesizer,5.0,4.0,5.0,5.0,6.0,5.0,6.0,11.0,4.0,5.0,7.0,7.0,9.0,6.0,14.0,8.0,18.0,5.0,20.0,8.0,20.0,11.0,9.0,5.0,5.0,6.0,5.0
tamboerijn,5.0,10.0,6.0,8.0,16.0,8.0,8.0,12.0,6.0,6.0,6.0,10.0,7.0,6.0,8.0,8.0,5.0,6.0,8.0,7.0,11.0,20.0,8.0,5.0,11.0,8.0,5.0
triangel,5.0,6.0,5.0,9.0,11.0,7.0,4.0,16.0,6.0,7.0,4.0,8.0,9.0,6.0,11.0,6.0,4.0,5.0,5.0,7.0,9.0,8.0,20.0,6.0,8.0,6.0,7.0
trombone,4.0,5.0,8.0,2.0,7.0,6.0,4.0,6.0,14.0,8.0,6.0,5.0,4.0,12.0,9.0,5.0,4.0,5.0,2.0,11.0,5.0,5.0,6.0,20.0,4.0,18.0,4.0
trommel,6.0,4.0,5.0,8.0,11.0,8.0,5.0,18.0,8.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,8.0,6.0,5.0,11.0,8.0,4.0,20.0,5.0,8.0
