exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,5.0,9.0,6.0,5.0,7.0,5.0,4.0,5.0,4.0,5.0,9.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,12.0,6.0,5.0,10.0,16.0,9.0,5.0
ballet,5.0,20.0,6.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,7.0,5.0,6.0,7.0,5.0,6.0,5.0,6.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0
baseball,9.0,6.0,20.0,9.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,7.0,9.0,5.0,7.0,6.0,4.0,8.0,4.0,9.0,5.0,5.0,7.0,7.0,6.0,8.0
basketball,6.0,6.0,9.0,20.0,7.0,5.0,4.0,5.0,6.0,6.0,5.0,9.0,4.0,5.0,4.0,6.0,7.0,5.0,6.0,7.0,4.0,8.0,3.0,5.0,6.0,4.0,6.0,8.0,7.0,6.0
billiards,5.0,5.0,5.0,7.0,20.0,6.0,6.0,5.0,2.0,6.0,4.0,7.0,4.0,6.0,6.0,4.0,4.0,6.0,4.0,7.0,3.0,6.0,5.0,7.0,6.0,5.0,9.0,5.0,7.0,6.0
boxing,7.0,5.0,6.0,5.0,6.0,20.0,4.0,6.0,8.0,5.0,5.0,5.0,6.0,7.0,5.0,4.0,11.0,7.0,6.0,4.0,4.0,5.0,4.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0
chess,5.0,6.0,6.0,4.0,6.0,4.0,20.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,6.0,4.0,5.0,5.0,3.0,6.0,6.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,6.0
cycling,4.0,4.0,6.0,5.0,5.0,6.0,5.0,20.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0
fencing,5.0,4.0,5.0,6.0,2.0,8.0,5.0,4.0,20.0,5.0,7.0,5.0,6.0,7.0,5.0,5.0,7.0,6.0,7.0,7.0,5.0,3.0,4.0,7.0,6.0,7.0,4.0,6.0,6.0,8.0
golfing,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,20.0,6.0,7.0,4.0,7.0,6.0,5.0,4.0,5.0,6.0,7.0,5.0,7.0,6.0,8.0,4.0,4.0,9.0,9.0,7.0,9.0
gymnastics,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,7.0,6.0,20.0,4.0,5.0,6.0,6.0,8.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,5.0,7.0,7.0,6.0,5.0,8.0
handball,9.0,5.0,7.0,9.0,7.0,5.0,6.0,6.0,5.0,7.0,4.0,20.0,5.0,6.0,5.0,5.0,7.0,5.0,6.0,6.0,7.0,6.0,4.0,9.0,5.0,5.0,7.0,7.0,7.0,5.0
horseback riding,6.0,4.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,20.0,6.0,5.0,5.0,4.0,6.0,6.0,5.0,3.0,4.0,5.0,4.0,6.0,5.0,7.0,5.0,6.0,5.0
ice hockey,5.0,5.0,6.0,5.0,6.0,7.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,20.0,5.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,8.0,7.0,5.0,6.0,5.0,7.0,5.0
judo,5.0,7.0,7.0,4.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,20.0,6.0,6.0,5.0,4.0,5.0,5.0,6.0,3.0,5.0,4.0,5.0,5.0,6.0,6.0,8.0
long jump,6.0,5.0,7.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,8.0,5.0,5.0,5.0,6.0,20.0,5.0,9.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
rugby,4.0,6.0,9.0,7.0,4.0,11.0,5.0,4.0,7.0,4.0,6.0,7.0,4.0,6.0,6.0,5.0,20.0,5.0,5.0,6.0,4.0,10.0,6.0,7.0,3.0,4.0,4.0,7.0,8.0,5.0
running,5.0,7.0,5.0,5.0,6.0,7.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,9.0,5.0,20.0,4.0,5.0,6.0,8.0,5.0,6.0,6.0,5.0,7.0,5.0,6.0,5.0
sailing,5.0,5.0,7.0,6.0,4.0,6.0,3.0,4.0,7.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0,5.0,4.0,20.0,5.0,8.0,5.0,8.0,5.0,5.0,12.0,7.0,6.0,3.0,6.0
shot-put,5.0,6.0,6.0,7.0,7.0,4.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,6.0,5.0,4.0,6.0,5.0,5.0,20.0,7.0,6.0,5.0,7.0,3.0,6.0,6.0,7.0,4.0,5.0
